"Job vacancies, proportion of job vacancies and average offered hourly wage by occupation and duration of job vacancy, quarterly, unadjusted for seasonality 1 2"
"Frequency: Quarterly"
"Table: 14-10-0328-03"
"Release date: 2022-06-21"
"Geography: Canada, Province or territory"
""
""

,"Geography","British Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1,220","..","..","1,290","795","1,405","1,280","2,160","2,680"
"Health occupations  [3]","Duration of job vacancy, all durations 6 7","F","2,795","3,340","4,015","5,440","6,010","5,315","4,955","4,325","4,960","3,575","4,045","4,545","4,480","5,230","4,190","4,515","6,225","5,655","5,070","7,095","..","..","9,875","12,130","12,120","11,205","9,810","9,695"
,"Less than 15 days 7","F","540","590","1,160","1,245","1,360","1,400","1,565","745","1,480","985","885","F","915","1,425","950","1,155","1,330","940","620","1,660","..","..","1,270","1,425","5,320","3,460","1,050","1,190"
,"15 to 29 days 7","F","550","550","345","1,535","1,035","1,275","760","450","1,170","870","1,035","830","795","805","555","755","1,410","840","520","910","..","..","1,200","1,680","1,525","995","1,085","815"
,"30 to 59 days 7","F","395","610","360","515","575","695","745","915","660","540","935","710","700","930","950","545","855","855","785","1,005","..","..","2,750","2,820","1,495","1,595","1,515","1,520"
,"60 to 89 days 7","F","110","150","535","270","620","290","355","345","230","365","135","405","620","530","485","395","670","615","F","1,035","..","..","975","2,165","955","1,445","1,580","1,470"
,"90 days or more 7","F","655","695","890","1,130","1,165","900","745","840","800","535","600","1,110","980","790","655","1,035","880","1,360","1,235","2,485","..","..","3,680","4,040","2,825","3,710","4,580","4,705"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","385","..","..","570","790","355","800","1,015","820"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2,100","..","..","3,110","3,250","2,465","2,910","3,560","3,885"
"Occupations in education, law and social, community and government services  [4]","Duration of job vacancy, all durations 6 7","F","3,010","3,080","2,975","3,210","4,935","3,880","3,740","3,820","4,660","5,155","4,800","5,135","5,390","6,040","6,165","6,125","6,530","5,770","6,175","6,910","..","..","6,690","7,925","7,170","7,400","7,980","10,010"
,"Less than 15 days 7","F","755","865","870","945","1,125","1,025","995","725","1,335","1,095","1,275","1,230","1,255","1,015","980","1,210","1,605","1,450","1,110","1,305","..","..","1,165","1,210","2,065","1,730","1,135","1,650"
,"15 to 29 days 7","F","560","760","870","590","890","1,345","910","815","1,235","1,440","815","815","1,155","775","1,090","1,335","1,370","1,145","875","1,125","..","..","1,200","1,550","1,690","1,430","1,230","1,685"
,"30 to 59 days 7","F","305","530","375","560","F","680","515","490","800","940","695","1,155","955","1,210","1,360","1,050","1,020","685","1,295","1,130","..","..","1,160","1,065","755","1,045","1,505","1,265"
,"60 to 89 days 7","F","F","170","245","155","210","185","120","155","150","125","480","300","470","420","390","360","485","435","440","F","..","..","1,195","595","410","950","760","1,135"
,"90 days or more 7","F","300","220","170","335","335","150","320","310","325","335","305","330","450","550","510","570","485","670","760","2,790","..","..","1,970","3,510","2,245","2,240","3,345","4,270"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","340","..","..","F","455","185","395","640","670"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2,450","..","..","1,565","3,055","2,060","1,845","2,705","3,605"
"Occupations in art, culture, recreation and sport  [5]","Duration of job vacancy, all durations 6 7","F","1,510","1,140","1,290","960","1,825","1,520","1,485","1,710","2,290","1,535","1,845","2,070","2,085","1,890","2,350","2,545","3,010","2,775","2,155","2,530","..","..","1,815","2,470","2,235","3,425","3,545","3,680"
,"Less than 15 days 7","F","635","555","270","195","390","375","300","400","540","300","280","325","480","565","795","490","475","355","505","590","..","..","270","825","805","525","445","475"
,"15 to 29 days 7","F","250","175","180","215","740","230","F","440","660","380","250","580","485","460","435","630","780","295","330","615","..","..","365","525","440","690","755","845"
,"30 to 59 days 7","F","285","215","F","250","365","370","200","420","320","290","295","410","635","345","495","630","420","955","375","490","..","..","F","310","450","590","1,025","665"
,"60 to 89 days 7","F","F","F","F","30","55","F","F","50","F","130","245","F","165","F","F","F","205","F","170","145","..","..","F","F","280","425","390","275"
,"90 days or more 7","F","25","45","200","105","105","135","F","125","F","185","345","F","80","170","F","280","630","F","340","695","..","..","275","315","265","1,190","930","1,420"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","50","..","..","40","60","F","190","265","295"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","645","..","..","230","260","210","1,005","665","1,125"
"Sales and service occupations  [6]","Duration of job vacancy, all durations 6 7","F","29,150","31,330","25,970","22,650","26,870","30,365","28,690","23,635","32,445","36,820","36,360","34,835","40,320","39,120","37,825","33,605","39,000","38,670","34,425","31,475","..","..","28,715","27,970","39,920","62,755","55,685","50,910"
,"Less than 15 days 7","F","7,220","8,615","6,835","6,370","7,025","6,995","7,085","5,875","7,295","7,190","5,205","6,940","6,815","6,150","7,495","6,670","9,265","7,570","6,330","8,545","..","..","8,120","7,660","12,115","10,210","7,280","9,645"
,"15 to 29 days 7","F","7,745","6,455","4,740","5,180","6,290","7,220","5,310","4,065","7,355","8,130","6,465","6,230","7,805","7,545","6,770","6,055","6,510","7,760","5,945","5,480","..","..","5,375","6,145","8,275","11,575","9,725","8,430"
,"30 to 59 days 7","F","4,375","4,365","4,600","2,980","4,110","4,135","4,205","4,115","4,265","5,445","7,965","5,215","8,045","5,920","6,270","4,635","5,775","4,470","4,670","5,310","..","..","5,045","4,110","9,065","14,020","11,510","8,915"
,"60 to 89 days 7","F","1,160","1,390","1,075","885","1,370","1,195","1,735","1,275","1,625","2,190","2,605","1,790","2,785","3,200","2,285","975","1,750","2,075","2,120","1,860","..","..","2,045","2,825","2,040","6,385","6,685","4,175"
,"90 days or more 7","F","1,925","1,950","1,905","1,435","2,570","1,980","2,490","2,055","3,360","3,005","3,870","4,645","3,290","4,005","3,395","3,610","3,770","3,545","2,970","10,285","..","..","8,130","7,230","8,420","20,560","20,485","19,740"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1,300","..","..","620","720","1,400","3,445","2,125","2,790"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","8,985","..","..","7,510","6,510","7,020","17,115","18,355","16,945"
"Trades, transport and equipment operators and related occupations  [7]","Duration of job vacancy, all durations 6 7","F","9,900","11,525","8,935","11,025","9,555","12,015","11,230","12,450","15,935","19,465","18,500","18,790","24,150","27,525","23,445","23,470","22,470","21,070","16,455","17,760","..","..","20,135","19,785","24,130","29,865","31,440","31,185"
,"Less than 15 days 7","F","1,905","2,300","1,445","2,405","2,060","2,910","2,255","2,345","3,065","3,655","2,240","2,870","3,175","2,870","3,305","2,635","2,765","2,625","2,100","4,635","..","..","4,060","4,300","5,575","3,120","3,575","4,525"
,"15 to 29 days 7","F","1,645","2,025","1,280","1,755","1,680","2,040","1,195","2,320","3,420","2,720","2,345","2,075","2,615","3,720","2,335","1,645","3,075","3,170","1,935","2,455","..","..","2,330","3,105","4,770","5,195","3,045","4,545"
,"30 to 59 days 7","F","935","1,095","1,120","895","1,625","1,610","1,185","1,340","1,910","3,820","2,435","1,995","3,400","3,690","2,820","3,855","2,320","4,055","2,245","2,475","..","..","4,195","4,050","3,840","5,340","5,065","5,230"
,"60 to 89 days 7","F","235","F","220","F","355","F","725","F","440","1,390","F","1,235","1,000","F","1,555","855","725","535","750","1,245","..","..","1,440","1,620","2,135","2,810","3,010","3,475"
,"90 days or more 7","F","1,160","1,400","1,320","F","815","1,235","1,845","1,480","2,010","2,480","2,295","3,255","3,255","3,145","3,910","4,650","3,870","3,080","2,405","6,945","..","..","8,110","6,710","7,815","13,400","16,740","13,415"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","1,670","895","1,120","2,180","2,925","1,790"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","6,155","..","..","6,440","5,815","6,695","11,220","13,815","11,625"
"Natural resources, agriculture and related production occupations  [8]","Duration of job vacancy, all durations 6 7","F","5,375","3,380","1,990","2,105","4,770","4,430","3,725","3,685","4,920","5,455","3,360","5,315","5,165","5,540","5,435","5,685","4,980","6,710","3,950","4,005","..","..","4,005","3,880","5,610","5,070","4,335","5,815"
,"Less than 15 days 7","F","F","1,190","245","765","1,275","750","450","785","1,160","F","345","F","945","F","455","985","725","F","995","890","..","..","420","1,320","1,905","860","750","1,475"
,"15 to 29 days 7","F","610","F","105","170","F","F","F","605","1,275","830","F","710","340","1,045","1,195","785","545","F","F","680","..","..","F","810","650","810","275","650"
,"30 to 59 days 7","F","F","F","F","F","885","305","655","930","655","805","F","910","725","890","F","F","835","F","200","F","..","..","415","665","1,480","1,175","665","1,505"
,"60 to 89 days 7","F","F","F","F","F","F","F","F","F","F","F","F","1,020","F","F","F","F","F","F","F","F","..","..","400","315","440","615","F","300"
,"90 days or more 7","F","F","F","F","F","F","F","F","F","F","F","F","640","940","F","1,355","535","855","F","F","1,470","..","..","2,025","765","1,145","1,605","2,030","1,885"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","F","F","F","F","F","F"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","815","..","..","1,420","745","1,000","1,350","1,765","1,795"
"Occupations in manufacturing and utilities  [9]","Duration of job vacancy, all durations 6 7","F","2,200","1,935","1,330","1,000","2,115","2,690","2,180","2,200","2,360","2,990","3,000","3,475","3,955","3,350","3,045","3,020","3,645","3,550","2,645","2,835","..","..","3,360","4,095","4,495","6,255","5,995","6,010"
,"Less than 15 days 7","F","645","580","520","405","575","555","355","525","500","580","375","470","590","405","650","410","655","500","460","650","..","..","465","950","1,130","665","330","595"
,"15 to 29 days 7","F","435","595","310","255","345","1,145","460","475","425","525","550","505","675","595","360","555","600","1,085","375","495","..","..","F","915","1,010","1,230","775","1,390"
,"30 to 59 days 7","F","285","F","90","95","F","475","460","340","435","880","825","740","885","415","455","470","510","380","495","435","..","..","F","670","950","1,015","820","1,000"
,"60 to 89 days 7","F","F","F","F","F","F","F","130","F","F","100","275","215","295","330","185","160","180","155","50","140","..","..","360","455","330","F","730","560"
,"90 days or more 7","F","F","55","50","30","F","F","F","165","245","F","F","350","370","465","535","330","F","345","250","1,110","..","..","815","1,110","1,075","2,325","3,345","2,460"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","65","..","..","F","F","140","F","F","440"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1,050","..","..","550","1,080","935","1,855","3,070","2,020"
"Unclassified occupations 8","Duration of job vacancy, all durations 6 7","..","2,820","2,305","1,330","1,260","3,025","F","F","F","F","F","F","300","795","535","F","F","F","F","F","F","..","..","F","F","F","F","F","F"
,"Less than 15 days 7","..","550","570","240","310","765","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","..","..","F","F","F","F","F","F"
,"15 to 29 days 7","..","580","690","340","F","865","F","F","F","F","F","F","F","F","F","F","F","F","F","0","F","..","..","F","F","F","F","0","F"
,"30 to 59 days 7","..","745","450","F","F","685","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","..","..","F","F","F","F","F","F"
,"60 to 89 days 7","..","F","F","F","20","F","F","F","F","F","F","0","F","F","F","F","F","0","0","0","F","..","..","0","F","F","0","F","F"
,"90 days or more 7","..","F","150","F","F","F","F","F","F","F","F","F","F","F","F","0","F","0","0","F","F","..","..","F","F","F","F","F","F"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0","..","..","F","0","F","0","F","0"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","F","F","F","F","F","F"

Symbol legend:
.., not available for a specific reference period
E, use with caution
F, too unreliable to be published
A, data quality: excellent
B, data quality: very good
C, data quality: good
D, data quality: acceptable




Footnotes:
1,"Data quality indicators are based on the coefficient of variation (CV), the non-response errors, the imputation errors, and subject matter expertise: A – Excellent; B - Very good; C - Good; D – Acceptable; E - Use with caution; F - Too unreliable to publish."
2,"Data for the second and third quarters of 2020 are unavailable due to some Statistics Canada operations being temporarily suspended during the COVID-19 pandemic."
3,"A job is vacant if it meets the following conditions: it is vacant on the reference date (first day of the month) or will become vacant during the month; there are tasks to be carried out during the month for the job in question; and the employer is actively seeking a worker outside the organization to fill the job. The jobs could be full-time, part-time, permanent, temporary, casual, or seasonal. Jobs reserved for subcontractors, external consultants, or other workers who are not considered employees, are excluded."
4,"Occupation estimates are based on the <a href="https://www.statcan.gc.ca/eng/subjects/standard/noc/2016/indexV1.3">National Occupational Classification (NOC) 2016</a>."
5,"Includes ‘Unclassified occupations'. Previously released data for the first quarter of 2015 excluded this category."
8,"Improvements were made to the occupation coding procedures starting in the second quarter of 2017. This has resulted in a decrease in the number of vacancies for which the occupation is unclassified. The new coding procedures do not affect the total number of vacancies."
6,"The duration of job vacancy is the number of days the job has been vacant. In the context of the Job Vacancy and Wage Survey, it refers to the number of days of active recruitment."
7,"Starting in the first quarter of 2020, 'constantly recruiting' was removed as a response category for the duration of a job vacancy, and moved to a separate question. At the same time, the job vacancy duration category '90 days or more' was split into two new response categories: '90 to 119 days' and '120 days or more'. Comparison of this data from before and after these changes is not recommended."



"How to cite: Statistics Canada. Table 14-10-0328-03  Job vacancies, proportion of job vacancies and average offered hourly wage by occupation and duration of job vacancy, quarterly, unadjusted for seasonality"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410032803
