"Job vacancies, proportion of job vacancies and average offered hourly wage by occupation and duration of job vacancy, quarterly, unadjusted for seasonality 1 2"
"Frequency: Quarterly"
"Table: 14-10-0328-03"
"Release date: 2022-06-21"
"Geography: Canada, Province or territory"
""
""

,"Geography","Alberta",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Less than 15 days 7","F","560","595","610","430","895","690","580","400","780","705","520","1,205","1,770","1,125","1,035","690","1,210","425","780","695","..","..","1,165","930","710","1,585","755","1,085"
,"15 to 29 days 7","F","1,110","280","365","320","380","420","185","200","245","320","155","295","440","440","155","395","325","370","285","270","..","..","245","395","860","780","815","730"
,"30 to 59 days 7","F","340","F","170","200","115","420","235","200","F","F","265","245","205","210","255","195","220","330","135","150","..","..","370","795","710","675","845","510"
,"60 to 89 days 7","F","F","F","F","F","F","110","105","60","F","55","F","F","F","30","F","F","F","45","F","80","..","..","210","205","F","260","310","280"
,"90 days or more 7","F","135","F","F","F","115","110","210","F","105","260","F","135","190","F","55","125","155","220","75","395","..","..","520","330","575","900","1,315","2,490"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","F","F","F","F","F","805"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","190","..","..","465","250","510","780","1,095","1,685"
"Occupations in education, law and social, community and government services  [4]","Duration of job vacancy, all durations 6 7","F","3,055","2,310","2,250","2,280","2,395","2,665","2,135","2,010","2,835","2,880","2,870","2,835","3,640","4,565","2,890","3,360","3,440","3,880","2,635","2,845","..","..","2,760","3,140","3,885","4,075","6,340","7,380"
,"Less than 15 days 7","F","840","785","665","555","905","1,080","850","565","875","945","735","590","1,370","1,260","740","670","910","1,065","705","685","..","..","875","935","1,250","1,080","1,200","1,750"
,"15 to 29 days 7","F","625","495","420","495","540","495","465","350","695","850","740","750","815","1,465","705","975","1,005","935","650","960","..","..","495","840","1,125","925","1,500","1,695"
,"30 to 59 days 7","F","550","355","490","250","305","290","240","335","440","375","435","515","745","855","615","565","475","730","360","395","..","..","645","605","755","1,160","1,800","1,635"
,"60 to 89 days 7","F","310","110","145","70","F","90","105","70","165","140","F","140","195","140","155","190","250","115","185","170","..","..","F","175","110","230","505","535"
,"90 days or more 7","F","220","235","100","375","F","375","215","310","150","190","305","250","120","320","320","410","345","395","225","635","..","..","420","585","650","675","1,340","1,770"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","45","55","145","F","150","410"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","550","..","..","375","525","505","495","1,190","1,355"
"Occupations in art, culture, recreation and sport  [5]","Duration of job vacancy, all durations 6 7","F","980","1,030","440","1,085","930","890","475","1,035","1,030","1,020","625","x","1,305","1,035","825","1,065","1,140","835","860","605","..","..","575","730","1,330","1,725","1,010","990"
,"Less than 15 days 7","F","205","185","125","730","F","195","75","320","320","450","145","x","325","245","70","335","275","225","185","295","..","..","270","F","620","460","165","415"
,"15 to 29 days 7","F","195","475","115","120","335","F","50","140","280","325","185","x","435","535","120","395","285","330","160","160","..","..","140","F","335","765","230","165"
,"30 to 59 days 7","F","225","F","75","F","90","140","F","340","190","80","185","x","315","155","190","115","185","170","335","55","..","..","40","100","285","215","225","185"
,"60 to 89 days 7","F","F","15","F","40","F","F","F","70","60","30","15","x","25","F","F","125","200","35","60","F","..","..","5","10","F","65","110","110"
,"90 days or more 7","F","100","F","35","F","F","30","120","F","125","70","F","x","115","F","30","F","F","20","65","50","..","..","F","55","55","F","275","115"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","10","..","..","0","20","20","25","135","35"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","40","..","..","F","40","F","F","140","80"
"Sales and service occupations  [6]","Duration of job vacancy, all durations 6 7","34,405","30,720","31,400","26,385","17,200","19,150","18,880","18,930","15,750","19,880","20,980","19,420","15,650","19,885","19,780","20,655","15,465","21,665","19,245","16,530","15,910","..","..","16,815","15,560","23,830","34,805","30,795","27,525"
,"Less than 15 days 7","F","4,850","7,500","6,025","3,935","3,675","4,085","4,825","3,080","4,970","5,290","5,130","3,920","5,335","5,550","4,160","3,745","6,030","5,095","3,675","4,700","..","..","7,310","6,695","9,610","8,885","6,410","7,200"
,"15 to 29 days 7","F","6,860","5,655","4,730","3,080","3,710","3,815","3,160","2,595","3,495","4,220","3,830","2,945","3,610","4,240","3,250","2,850","3,895","3,865","3,305","3,420","..","..","3,295","3,205","6,540","8,630","6,195","5,730"
,"30 to 59 days 7","F","4,285","3,215","3,800","1,600","2,020","2,185","2,270","2,750","2,660","2,995","3,080","2,420","2,795","2,500","4,410","2,340","2,850","2,390","2,425","2,330","..","..","2,475","1,785","3,600","6,835","5,990","4,925"
,"60 to 89 days 7","F","1,040","1,005","985","885","655","1,030","1,080","755","800","745","770","650","1,065","1,105","1,185","925","640","985","645","1,280","..","..","1,170","1,190","1,120","3,235","4,120","1,955"
,"90 days or more 7","F","2,895","2,395","1,010","1,665","2,450","1,770","2,055","1,695","1,510","1,445","885","1,195","1,970","1,485","1,545","1,835","2,285","1,460","1,240","4,175","..","..","2,565","2,690","2,965","7,210","8,085","7,715"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","615","..","..","170","460","200","1,820","2,020","1,715"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","3,560","..","..","2,395","2,225","2,765","5,390","6,065","5,995"
"Trades, transport and equipment operators and related occupations  [7]","Duration of job vacancy, all durations 6 7","F","13,880","12,545","8,275","5,450","6,430","8,160","6,400","8,810","10,170","12,610","13,140","12,800","14,900","15,210","12,930","10,250","12,555","11,970","10,300","11,875","..","..","9,365","11,335","15,540","19,660","21,155","20,795"
,"Less than 15 days 7","F","3,230","3,430","2,205","1,460","2,540","2,935","2,185","3,060","4,250","3,565","3,650","3,530","4,355","4,100","2,420","2,405","3,945","2,970","2,520","3,900","..","..","3,935","4,105","5,535","5,360","4,540","4,935"
,"15 to 29 days 7","F","2,355","2,070","1,465","885","1,010","1,065","1,325","1,580","1,950","2,535","2,770","2,310","3,380","2,835","2,245","1,935","2,200","2,590","1,925","2,165","..","..","1,760","2,415","3,650","4,490","3,630","4,685"
,"30 to 59 days 7","F","2,260","1,450","1,015","660","455","1,205","920","855","1,170","2,800","2,380","1,815","2,185","2,515","2,345","1,740","1,625","1,840","1,840","2,365","..","..","1,370","2,425","2,805","3,745","4,815","2,615"
,"60 to 89 days 7","F","410","465","430","F","220","F","335","F","550","570","495","710","805","605","715","740","865","445","490","880","..","..","695","540","940","1,780","1,885","2,010"
,"90 days or more 7","F","1,160","F","790","260","F","F","550","650","510","730","1,150","855","1,260","1,610","1,985","1,280","890","985","1,175","2,570","..","..","1,605","1,850","2,615","4,280","6,285","6,545"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","390","..","..","F","200","240","795","1,040","1,685"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2,180","..","..","1,460","1,650","2,375","3,485","5,245","4,860"
"Natural resources, agriculture and related production occupations  [8]","Duration of job vacancy, all durations 6 7","F","4,125","2,875","1,555","2,040","2,190","1,115","2,095","2,210","2,695","2,695","3,035","2,950","3,975","2,955","2,395","2,460","3,345","1,940","1,770","2,170","..","..","1,875","2,855","4,235","3,515","3,575","4,045"
,"Less than 15 days 7","F","1,100","1,035","F","F","665","460","730","470","1,215","530","F","715","700","495","520","675","730","550","415","775","..","..","905","1,400","1,160","740","830","925"
,"15 to 29 days 7","F","510","405","F","130","455","280","190","355","470","580","820","410","980","680","250","340","740","290","435","425","..","..","390","450","930","515","935","680"
,"30 to 59 days 7","F","590","F","F","F","F","65","F","560","230","670","550","665","F","570","255","F","545","100","275","365","..","..","295","630","1,255","740","530","830"
,"60 to 89 days 7","F","F","F","F","F","215","F","F","160","75","F","F","110","115","F","335","375","115","120","F","F","..","..","65","F","F","310","F","385"
,"90 days or more 7","F","505","220","115","F","F","F","160","120","F","200","295","185","430","F","F","165","490","330","F","375","..","..","225","270","540","1,215","935","1,225"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","F","F","F","345","F","335"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","355","..","..","140","245","470","870","610","890"
"Occupations in manufacturing and utilities  [9]","Duration of job vacancy, all durations 6 7","F","1,670","1,505","1,155","960","895","1,165","1,045","1,245","1,440","1,600","1,285","1,930","1,740","1,490","1,350","1,315","1,410","1,100","915","975","..","..","1,450","1,895","2,400","3,095","2,460","3,070"
,"Less than 15 days 7","F","525","435","330","240","275","285","330","450","555","435","320","565","390","425","320","330","405","270","300","395","..","..","620","325","855","635","465","710"
,"15 to 29 days 7","F","360","205","115","120","180","240","165","195","185","310","245","565","375","205","295","145","280","155","150","185","..","..","130","415","325","545","475","515"
,"30 to 59 days 7","F","160","65","50","65","F","95","50","50","210","310","110","165","F","205","195","F","185","F","90","95","..","..","325","270","405","700","300","560"
,"60 to 89 days 7","F","F","F","F","F","F","15","60","F","45","80","50","F","20","F","F","F","45","F","F","100","..","..","F","220","F","680","210","210"
,"90 days or more 7","F","175","F","95","F","F","F","35","F","F","70","130","85","60","F","30","230","105","85","175","195","..","..","295","670","765","545","1,010","1,075"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","F","20","F","F","120","F"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","190","..","..","260","650","275","440","890","915"
"Unclassified occupations 8","Duration of job vacancy, all durations 6 7","..","3,030","1,885","1,155","595","1,525","F","F","F","F","F","F","x","F","F","F","F","F","F","F","F","..","..","F","F","x","F","135","x"
,"Less than 15 days 7","..","925","345","285","F","440","F","F","F","F","F","F","x","F","F","F","F","F","F","F","F","..","..","F","F","x","F","F","x"
,"15 to 29 days 7","..","500","260","F","85","220","F","F","F","F","F","F","x","F","F","F","F","F","F","F","F","..","..","F","F","x","F","F","x"
,"30 to 59 days 7","..","415","F","F","F","60","F","F","F","F","F","F","x","F","F","F","F","F","F","F","F","..","..","F","F","x","F","F","x"
,"60 to 89 days 7","..","F","F","F","F","F","F","F","F","0","F","F","x","0","F","F","F","0","0","F","F","..","..","F","F","x","0","F","x"
,"90 days or more 7","..","F","F","F","20","205","F","F","F","F","F","F","x","F","F","F","F","0","F","0","F","..","..","F","F","x","F","F","x"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0","..","..","0","F","x","F","F","x"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","F","F","x","F","F","x"

Symbol legend:
.., not available for a specific reference period
x, suppressed to meet the confidentiality requirements of the Statistics Act
E, use with caution
F, too unreliable to be published
A, data quality: excellent
B, data quality: very good
C, data quality: good
D, data quality: acceptable




Footnotes:
1,"Data quality indicators are based on the coefficient of variation (CV), the non-response errors, the imputation errors, and subject matter expertise: A – Excellent; B - Very good; C - Good; D – Acceptable; E - Use with caution; F - Too unreliable to publish."
2,"Data for the second and third quarters of 2020 are unavailable due to some Statistics Canada operations being temporarily suspended during the COVID-19 pandemic."
3,"A job is vacant if it meets the following conditions: it is vacant on the reference date (first day of the month) or will become vacant during the month; there are tasks to be carried out during the month for the job in question; and the employer is actively seeking a worker outside the organization to fill the job. The jobs could be full-time, part-time, permanent, temporary, casual, or seasonal. Jobs reserved for subcontractors, external consultants, or other workers who are not considered employees, are excluded."
4,"Occupation estimates are based on the <a href="https://www.statcan.gc.ca/eng/subjects/standard/noc/2016/indexV1.3">National Occupational Classification (NOC) 2016</a>."
5,"Includes ‘Unclassified occupations'. Previously released data for the first quarter of 2015 excluded this category."
8,"Improvements were made to the occupation coding procedures starting in the second quarter of 2017. This has resulted in a decrease in the number of vacancies for which the occupation is unclassified. The new coding procedures do not affect the total number of vacancies."
6,"The duration of job vacancy is the number of days the job has been vacant. In the context of the Job Vacancy and Wage Survey, it refers to the number of days of active recruitment."
7,"Starting in the first quarter of 2020, 'constantly recruiting' was removed as a response category for the duration of a job vacancy, and moved to a separate question. At the same time, the job vacancy duration category '90 days or more' was split into two new response categories: '90 to 119 days' and '120 days or more'. Comparison of this data from before and after these changes is not recommended."



"How to cite: Statistics Canada. Table 14-10-0328-03  Job vacancies, proportion of job vacancies and average offered hourly wage by occupation and duration of job vacancy, quarterly, unadjusted for seasonality"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410032803
