"Job vacancies, proportion of job vacancies and average offered hourly wage by occupation and duration of job vacancy, quarterly, unadjusted for seasonality 1 2"
"Frequency: Quarterly"
"Table: 14-10-0328-03"
"Release date: 2022-06-21"
"Geography: Canada, Province or territory"
""
""

,"Geography","Quebec",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"60 to 89 days 7","F","485","560","565","455","515","645","630","490","800","725","1,420","1,325","1,190","1,415","1,675","1,550","1,205","1,215","1,700","1,745","..","..","2,000","1,825","2,025","3,395","2,835","2,740"
,"90 days or more 7","F","460","670","665","695","645","805","790","960","1,145","1,525","1,655","1,915","2,290","2,025","2,775","2,525","2,870","2,465","2,730","4,130","..","..","2,870","3,915","3,835","6,545","6,995","8,650"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","850","..","..","740","1,035","1,435","1,475","1,655","1,845"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","3,280","..","..","2,130","2,880","2,395","5,070","5,340","6,805"
"Health occupations  [3]","Duration of job vacancy, all durations 6 7","6,590","4,665","3,880","3,925","4,635","4,340","3,805","4,190","6,935","5,590","6,070","5,560","6,700","8,920","8,395","8,375","10,750","12,640","11,900","9,965","12,520","..","..","21,745","16,715","20,630","23,920","21,835","23,030"
,"Less than 15 days 7","F","750","810","690","535","970","700","1,255","810","740","725","660","875","1,420","1,110","940","1,505","1,330","790","1,855","775","..","..","F","1,040","1,485","1,140","1,100","990"
,"15 to 29 days 7","F","665","390","555","640","855","630","550","725","1,650","795","790","810","1,455","1,090","875","1,470","2,325","1,890","1,695","845","..","..","F","1,215","1,045","1,015","1,740","1,080"
,"30 to 59 days 7","F","560","470","355","380","425","295","420","F","555","725","645","840","830","795","1,145","1,575","2,215","1,505","890","1,385","..","..","F","2,045","2,010","1,990","2,410","1,655"
,"60 to 89 days 7","F","390","F","F","65","85","F","105","70","150","270","365","380","340","550","F","1,505","460","525","610","2,590","..","..","F","1,195","850","1,960","2,110","4,800"
,"90 days or more 7","F","1,065","245","F","700","665","710","700","1,265","1,040","1,725","1,230","1,680","2,165","1,145","2,295","2,240","2,555","2,970","1,665","6,925","..","..","F","11,225","15,235","17,815","14,475","14,510"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","440","..","..","F","1,120","2,205","1,510","690","1,590"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","6,485","..","..","F","10,105","13,030","16,305","13,785","12,915"
"Occupations in education, law and social, community and government services  [4]","Duration of job vacancy, all durations 6 7","1,950","2,910","2,795","2,305","2,240","2,840","3,090","2,685","3,075","3,650","4,225","3,550","4,690","4,655","6,390","5,490","5,815","6,875","6,835","6,555","7,275","..","..","9,700","9,890","13,605","15,610","15,095","14,850"
,"Less than 15 days 7","F","915","1,050","1,070","900","970","1,215","930","855","1,110","1,560","995","1,290","1,130","1,510","990","1,190","1,415","1,400","1,220","1,745","..","..","1,885","1,865","2,675","2,200","1,750","2,005"
,"15 to 29 days 7","F","625","695","345","560","875","805","650","770","870","905","930","880","955","1,530","1,020","1,505","1,480","1,740","1,070","1,305","..","..","1,330","1,490","2,320","2,620","2,220","1,615"
,"30 to 59 days 7","F","410","430","235","300","475","570","345","510","590","770","490","880","705","1,110","1,005","900","1,130","1,050","1,580","1,130","..","..","1,980","1,735","2,610","2,560","2,375","2,465"
,"60 to 89 days 7","F","160","140","170","105","130","160","145","F","120","215","165","320","290","280","485","585","405","510","405","670","..","..","1,430","905","1,105","1,595","1,585","2,035"
,"90 days or more 7","F","410","F","195","205","180","225","305","250","295","330","435","555","625","1,090","565","645","845","935","695","2,425","..","..","3,075","3,890","4,895","6,640","7,165","6,730"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","625","..","..","515","685","1,300","710","960","1,075"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1,805","..","..","2,555","3,205","3,595","5,930","6,200","5,655"
"Occupations in art, culture, recreation and sport  [5]","Duration of job vacancy, all durations 6 7","F","3,510","1,620","1,505","1,970","2,435","1,555","1,720","2,410","2,695","2,055","1,875","2,525","2,915","2,450","3,065","3,865","4,105","2,865","2,590","3,350","..","..","2,095","3,965","4,455","5,425","5,225","4,375"
,"Less than 15 days 7","F","775","555","375","595","770","340","530","780","950","730","385","620","920","655","530","955","1,110","795","570","1,130","..","..","665","1,910","1,195","1,045","580","1,035"
,"15 to 29 days 7","F","855","380","F","415","620","405","310","F","395","410","260","555","655","470","555","925","1,015","515","580","750","..","..","620","935","815","795","1,000","705"
,"30 to 59 days 7","F","895","440","415","575","490","340","235","485","700","270","540","410","620","550","960","605","695","725","510","590","..","..","355","610","1,115","1,745","F","875"
,"60 to 89 days 7","F","50","45","50","60","F","95","105","170","160","185","220","245","245","115","380","520","295","155","170","240","..","..","70","95","690","760","850","500"
,"90 days or more 7","F","320","45","95","85","110","220","F","F","330","275","185","275","240","265","330","390","685","240","285","640","..","..","390","415","640","1,080","1,270","1,260"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","60","55","310","490","305","130"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","495","..","..","330","360","F","590","965","1,130"
"Sales and service occupations  [6]","Duration of job vacancy, all durations 6 7","15,935","22,575","20,165","17,235","14,870","22,150","21,300","19,050","18,375","27,775","26,820","31,180","24,855","37,595","37,310","38,050","31,285","44,300","45,990","40,845","37,135","..","..","41,880","35,145","55,485","79,570","79,710","67,380"
,"Less than 15 days 7","5,650","9,135","7,070","6,540","5,360","7,420","6,705","6,090","6,250","8,350","7,945","8,050","6,125","9,385","8,950","8,325","6,390","9,690","8,315","7,600","9,780","..","..","7,890","9,295","13,575","8,705","8,655","12,375"
,"15 to 29 days 7","3,390","4,215","5,225","3,785","4,835","5,790","5,485","4,270","4,100","6,965","5,485","7,760","5,385","8,035","7,735","6,890","7,005","9,635","8,955","8,245","8,365","..","..","11,030","8,425","12,035","15,285","13,105","11,380"
,"30 to 59 days 7","2,290","3,080","2,510","2,250","1,630","2,765","3,480","3,640","2,155","5,740","4,720","4,515","4,030","6,325","5,450","7,145","4,515","6,895","6,095","5,755","6,095","..","..","8,315","5,260","12,425","16,935","14,315","10,590"
,"60 to 89 days 7","F","820","955","405","550","1,600","1,055","1,300","1,390","1,240","1,780","1,870","1,375","1,830","2,125","2,320","1,810","2,600","3,215","2,665","2,230","..","..","4,760","2,565","5,115","9,925","9,965","6,075"
,"90 days or more 7","F","1,310","F","1,650","680","1,595","1,455","1,230","1,705","2,045","2,175","2,840","2,525","3,370","4,490","3,855","3,645","4,210","7,130","5,000","10,670","..","..","9,885","9,605","12,335","28,715","33,670","26,965"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1,475","..","..","1,550","1,080","1,570","5,145","5,400","4,250"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","9,195","..","..","8,335","8,525","10,765","23,575","28,275","22,715"
"Trades, transport and equipment operators and related occupations  [7]","Duration of job vacancy, all durations 6 7","8,760","9,405","8,105","6,780","5,775","7,340","7,985","8,695","9,365","12,305","15,390","13,375","15,510","20,360","20,710","20,315","18,155","24,075","24,470","22,450","20,795","..","..","23,695","25,130","32,510","37,070","37,875","34,965"
,"Less than 15 days 7","3,060","3,280","2,270","1,925","1,635","2,540","2,190","2,395","2,505","3,255","2,880","2,280","2,980","3,650","3,160","1,850","2,540","4,080","2,780","2,170","3,790","..","..","3,355","4,490","5,155","2,885","3,065","4,500"
,"15 to 29 days 7","F","1,725","1,595","1,380","1,035","1,825","1,650","1,965","1,710","2,825","3,020","2,290","2,760","3,815","2,655","2,635","2,605","3,275","3,160","2,590","2,950","..","..","3,685","3,660","6,195","4,835","3,955","3,900"
,"30 to 59 days 7","F","1,300","1,560","905","925","890","1,295","1,440","1,980","2,560","2,950","2,545","2,340","3,220","2,750","3,070","2,620","4,495","3,895","3,060","2,370","..","..","4,250","4,540","5,830","5,990","5,880","4,370"
,"60 to 89 days 7","F","460","290","400","255","475","520","530","520","500","950","920","1,195","1,375","1,895","1,460","1,290","1,535","2,025","1,435","1,460","..","..","2,870","2,175","3,405","4,090","4,470","3,555"
,"90 days or more 7","F","880","790","630","520","665","790","790","685","875","1,685","1,520","2,130","2,805","3,360","3,175","2,940","3,285","4,285","4,260","10,225","..","..","9,535","10,265","11,925","19,270","20,505","18,640"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1,100","..","..","1,175","1,160","1,470","2,340","3,005","1,945"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","9,120","..","..","8,360","9,105","10,455","16,930","17,500","16,700"
"Natural resources, agriculture and related production occupations  [8]","Duration of job vacancy, all durations 6 7","F","3,220","1,595","1,485","970","2,190","1,670","1,000","1,225","2,590","1,505","1,485","2,295","3,230","2,695","x","2,465","4,405","2,655","2,350","2,685","..","..","2,535","3,200","3,700","3,735","3,905","3,555"
,"Less than 15 days 7","F","875","F","F","310","815","F","250","430","590","515","215","375","600","330","x","325","520","F","310","815","..","..","F","855","720","205","435","605"
,"15 to 29 days 7","F","745","295","F","F","270","275","F","245","525","280","350","330","725","385","x","205","850","320","F","F","..","..","460","355","625","465","295","455"
,"30 to 59 days 7","F","470","F","40","F","350","F","F","105","455","165","245","385","580","510","x","540","930","130","250","400","..","..","225","340","850","770","630","330"
,"60 to 89 days 7","F","F","F","F","F","F","35","F","F","270","F","F","F","F","295","x","195","250","270","140","F","..","..","90","F","215","250","F","195"
,"90 days or more 7","F","650","F","225","215","370","160","F","F","280","195","275","345","470","445","x","425","450","245","375","900","..","..","1,295","1,420","1,295","2,045","1,890","1,965"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","10","..","..","F","F","130","F","F","F"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","890","..","..","740","1,180","1,160","1,790","1,700","1,775"
"Occupations in manufacturing and utilities  [9]","Duration of job vacancy, all durations 6 7","4,560","5,120","4,885","3,435","3,805","4,915","4,975","5,460","5,725","6,975","8,175","8,075","7,290","9,495","10,140","9,745","9,105","11,295","11,040","9,235","8,495","..","..","12,335","13,090","16,705","18,810","19,815","17,975"
,"Less than 15 days 7","F","1,570","1,460","820","1,185","1,740","1,590","1,000","1,490","1,515","1,135","990","1,355","1,305","995","1,230","990","1,095","1,045","495","1,205","..","..","1,375","1,065","1,820","1,055","720","1,560"
,"15 to 29 days 7","F","835","910","610","880","1,210","1,065","1,355","1,320","1,340","1,580","1,335","1,390","1,485","1,410","1,195","1,415","1,565","1,580","1,025","1,235","..","..","1,700","2,120","2,330","1,790","1,725","1,705"
,"30 to 59 days 7","F","895","790","535","430","745","600","875","875","1,575","1,345","1,310","1,030","1,690","1,895","1,690","985","2,700","1,690","1,430","1,105","..","..","2,065","2,045","2,705","2,785","2,995","2,390"
,"60 to 89 days 7","F","225","295","105","F","145","190","380","265","370","800","830","560","795","730","785","585","690","715","610","820","..","..","1,525","1,235","1,880","2,060","2,475","1,775"
,"90 days or more 7","F","535","165","525","195","220","325","F","865","605","585","1,010","615","1,200","1,110","1,105","845","770","1,220","965","4,125","..","..","5,665","6,620","7,970","11,125","11,900","10,545"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","385","..","..","660","445","745","1,460","1,060","930"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","3,740","..","..","5,005","6,170","7,225","9,665","10,845","9,615"
"Unclassified occupations 8","Duration of job vacancy, all durations 6 7","..","1,620","1,935","935","2,295","2,090","F","F","F","F","F","F","2,020","F","F","x","F","F","585","1,060","F","..","..","345","F","F","F","F","F"
,"Less than 15 days 7","..","F","405","F","F","F","F","F","F","F","F","F","F","F","F","x","F","F","F","610","F","..","..","F","F","F","F","F","F"
,"15 to 29 days 7","..","440","265","150","F","F","F","F","F","F","F","F","F","F","F","x","F","F","F","F","F","..","..","160","F","F","F","F","F"
,"30 to 59 days 7","..","300","F","F","F","F","F","F","F","F","F","F","F","F","F","x","F","F","F","F","F","..","..","F","F","F","F","F","F"
,"60 to 89 days 7","..","F","345","100","F","F","F","F","F","F","F","F","F","F","F","x","F","F","F","F","F","..","..","F","F","F","F","F","F"
,"90 days or more 7","..","F","F","F","F","F","F","F","F","F","F","F","F","F","F","x","F","F","F","F","F","..","..","F","F","F","F","F","F"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","F","F","F","F","F","F"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","F","F","F","F","F","F"

Symbol legend:
.., not available for a specific reference period
x, suppressed to meet the confidentiality requirements of the Statistics Act
E, use with caution
F, too unreliable to be published
A, data quality: excellent
B, data quality: very good
C, data quality: good
D, data quality: acceptable




Footnotes:
1,"Data quality indicators are based on the coefficient of variation (CV), the non-response errors, the imputation errors, and subject matter expertise: A – Excellent; B - Very good; C - Good; D – Acceptable; E - Use with caution; F - Too unreliable to publish."
2,"Data for the second and third quarters of 2020 are unavailable due to some Statistics Canada operations being temporarily suspended during the COVID-19 pandemic."
3,"A job is vacant if it meets the following conditions: it is vacant on the reference date (first day of the month) or will become vacant during the month; there are tasks to be carried out during the month for the job in question; and the employer is actively seeking a worker outside the organization to fill the job. The jobs could be full-time, part-time, permanent, temporary, casual, or seasonal. Jobs reserved for subcontractors, external consultants, or other workers who are not considered employees, are excluded."
4,"Occupation estimates are based on the <a href="https://www.statcan.gc.ca/eng/subjects/standard/noc/2016/indexV1.3">National Occupational Classification (NOC) 2016</a>."
5,"Includes ‘Unclassified occupations'. Previously released data for the first quarter of 2015 excluded this category."
8,"Improvements were made to the occupation coding procedures starting in the second quarter of 2017. This has resulted in a decrease in the number of vacancies for which the occupation is unclassified. The new coding procedures do not affect the total number of vacancies."
6,"The duration of job vacancy is the number of days the job has been vacant. In the context of the Job Vacancy and Wage Survey, it refers to the number of days of active recruitment."
7,"Starting in the first quarter of 2020, 'constantly recruiting' was removed as a response category for the duration of a job vacancy, and moved to a separate question. At the same time, the job vacancy duration category '90 days or more' was split into two new response categories: '90 to 119 days' and '120 days or more'. Comparison of this data from before and after these changes is not recommended."



"How to cite: Statistics Canada. Table 14-10-0328-03  Job vacancies, proportion of job vacancies and average offered hourly wage by occupation and duration of job vacancy, quarterly, unadjusted for seasonality"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410032803
