"Job vacancies, proportion of job vacancies and average offered hourly wage by occupation and duration of job vacancy, quarterly, unadjusted for seasonality 1 2"
"Frequency: Quarterly"
"Table: 14-10-0328-03"
"Release date: 2022-06-21"
"Geography: Canada, Province or territory"
""
""

,"Geography","Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"30 to 59 days 7","1,895","3,765","2,125","2,235","2,915","2,645","2,740","2,810","3,025","2,955","3,310","3,185","3,310","4,035","4,160","4,135","3,780","3,850","3,015","3,740","3,425","..","..","3,680","4,220","4,625","6,910","7,065","6,700"
,"60 to 89 days 7","F","1,220","1,100","1,090","855","1,030","1,455","1,150","1,365","1,795","1,940","1,455","1,880","1,605","1,800","1,380","1,420","2,085","1,360","1,930","2,210","..","..","2,250","2,275","3,050","3,520","4,410","3,755"
,"90 days or more 7","F","1,765","985","1,650","1,555","1,760","1,925","1,575","2,220","1,945","2,015","1,965","2,685","2,690","3,120","3,230","3,045","3,040","2,815","2,840","4,065","..","..","2,890","3,180","3,950","5,585","6,830","6,715"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1,510","..","..","815","940","1,365","1,525","1,665","2,175"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2,560","..","..","2,075","2,235","2,580","4,060","5,165","4,535"
"Health occupations  [3]","Duration of job vacancy, all durations 6 7","7,100","8,100","8,050","6,965","7,080","8,260","8,505","8,180","9,550","8,900","10,530","10,700","11,350","13,070","13,520","13,740","15,145","14,345","14,255","13,975","15,300","..","..","22,175","23,895","26,950","30,625","32,150","33,390"
,"Less than 15 days 7","F","1,665","2,110","1,755","1,420","1,585","1,885","1,530","1,700","1,885","2,465","2,080","1,610","2,485","2,095","1,990","2,420","2,125","1,875","1,930","3,130","..","..","3,070","3,070","3,775","2,290","3,265","3,420"
,"15 to 29 days 7","F","2,065","1,605","1,385","1,300","1,330","1,335","1,400","1,805","1,705","2,105","1,815","1,675","2,750","1,955","2,090","2,145","2,140","2,080","1,730","2,280","..","..","3,920","3,820","3,795","3,690","4,785","4,050"
,"30 to 59 days 7","F","1,145","1,675","1,025","1,605","1,930","1,575","1,485","1,730","1,315","1,375","1,420","2,290","2,060","2,055","2,305","2,520","2,860","2,310","2,525","2,510","..","..","5,230","4,620","5,125","8,135","5,860","7,295"
,"60 to 89 days 7","F","805","575","635","510","550","570","770","1,925","840","850","1,485","1,095","1,200","1,645","1,845","1,575","1,095","1,600","1,665","1,650","..","..","2,675","3,615","5,100","2,640","3,405","4,355"
,"90 days or more 7","F","995","835","865","865","1,470","1,435","1,280","1,320","945","1,505","1,510","1,745","2,250","2,450","2,080","3,155","2,685","2,345","3,205","5,725","..","..","7,285","8,770","9,155","13,875","14,840","14,265"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","775","..","..","1,830","1,250","1,795","2,755","3,470","2,145"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","4,950","..","..","5,455","7,520","7,360","11,120","11,370","12,120"
"Occupations in education, law and social, community and government services  [4]","Duration of job vacancy, all durations 6 7","8,935","8,045","7,155","7,770","7,795","8,035","8,880","9,050","9,465","10,050","11,120","11,720","12,325","14,605","13,885","14,790","14,355","14,265","12,875","13,535","14,050","..","..","17,625","17,890","18,420","17,095","22,505","26,645"
,"Less than 15 days 7","F","2,570","2,380","1,970","2,560","2,555","3,300","2,655","2,175","2,635","2,730","3,115","2,515","3,810","3,220","2,895","2,615","3,615","3,105","2,865","3,155","..","..","4,695","4,785","4,735","3,930","4,035","5,185"
,"15 to 29 days 7","F","2,205","2,430","1,630","1,720","2,185","2,605","2,090","2,205","2,275","2,290","2,865","2,285","1,795","2,825","3,480","2,145","2,435","2,355","2,075","3,325","..","..","3,460","3,520","3,755","3,875","3,920","4,350"
,"30 to 59 days 7","F","1,360","1,095","1,105","1,175","945","1,125","1,280","1,155","1,580","2,030","1,820","1,800","2,015","2,435","2,285","2,360","2,015","1,740","2,030","3,345","..","..","3,185","3,055","3,315","3,425","5,440","5,775"
,"60 to 89 days 7","F","430","275","450","305","790","405","625","520","595","400","465","610","675","575","615","1,385","1,065","535","820","745","..","..","1,110","1,430","2,070","1,405","1,850","1,480"
,"90 days or more 7","F","555","425","760","450","500","485","545","1,300","850","1,170","1,010","825","1,055","1,240","1,955","1,085","1,330","1,075","1,780","3,480","..","..","5,180","5,105","4,540","4,455","7,265","9,860"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","245","..","..","370","505","550","690","1,320","1,420"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","3,235","..","..","4,805","4,600","3,990","3,765","5,945","8,440"
"Occupations in art, culture, recreation and sport  [5]","Duration of job vacancy, all durations 6 7","F","5,805","2,140","2,895","2,990","4,030","3,090","3,595","4,815","7,105","3,450","3,530","4,215","4,605","3,980","3,680","4,525","4,185","4,295","3,985","4,170","..","..","2,865","3,055","4,675","4,590","5,010","6,050"
,"Less than 15 days 7","F","1,050","775","895","1,210","1,280","1,020","665","905","1,685","655","715","1,100","995","695","1,180","1,555","890","1,125","1,180","1,715","..","..","880","1,295","1,225","1,320","985","1,635"
,"15 to 29 days 7","F","1,005","570","F","775","1,015","665","930","1,935","1,315","945","655","975","1,405","1,025","720","1,275","985","945","525","965","..","..","635","695","685","1,165","955","1,385"
,"30 to 59 days 7","F","730","400","835","250","865","475","1,375","960","1,460","660","795","580","940","1,470","610","745","840","715","F","635","..","..","710","455","F","745","1,230","1,310"
,"60 to 89 days 7","F","335","90","220","165","195","150","105","140","475","175","500","F","240","185","400","220","F","125","200","F","..","..","210","F","485","590","705","865"
,"90 days or more 7","F","F","F","F","F","F","F","F","370","F","230","350","315","360","220","365","375","590","570","435","555","..","..","430","165","800","770","1,135","860"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","160","..","..","F","50","235","145","F","195"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","400","..","..","325","120","560","625","1,010","665"
"Sales and service occupations  [6]","Duration of job vacancy, all durations 6 7","55,160","58,375","60,685","56,175","47,280","58,340","60,405","59,660","52,715","66,325","66,200","70,945","54,170","68,860","69,760","75,400","60,065","68,795","70,885","66,115","54,340","..","..","67,350","46,290","79,555","125,000","123,355","99,450"
,"Less than 15 days 7","18,320","22,010","22,760","16,230","19,555","17,300","19,770","16,045","14,440","19,155","19,770","19,110","15,480","21,145","19,845","18,105","18,330","19,080","20,550","16,740","20,500","..","..","25,525","17,740","26,865","30,310","20,255","25,660"
,"15 to 29 days 7","F","14,995","14,775","15,210","10,330","13,150","14,470","15,055","13,490","14,050","13,905","18,955","10,615","14,980","15,625","20,130","10,655","15,640","16,030","16,540","10,980","..","..","15,935","11,435","20,265","31,420","21,045","19,665"
,"30 to 59 days 7","F","7,585","7,815","7,250","5,545","7,650","8,700","10,470","7,240","10,950","9,345","10,205","9,485","10,225","10,705","12,945","10,045","9,430","10,385","11,215","8,190","..","..","12,430","6,805","12,345","24,630","22,135","16,690"
,"60 to 89 days 7","F","1,785","2,865","F","1,380","2,480","2,995","2,840","2,305","2,840","2,550","3,205","2,285","4,010","2,430","3,630","2,835","3,220","2,740","3,365","3,675","..","..","F","2,990","5,930","11,345","13,775","7,725"
,"90 days or more 7","F","2,775","2,115","2,385","2,510","5,450","3,985","4,355","5,270","6,685","5,245","3,080","4,875","5,510","4,670","4,620","4,590","5,975","3,970","4,170","10,995","..","..","8,035","7,320","14,150","27,295","46,145","29,705"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1,215","..","..","1,365","1,225","2,765","5,880","8,630","3,900"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","9,780","..","..","6,670","6,095","11,390","21,415","37,520","25,805"
"Trades, transport and equipment operators and related occupations  [7]","Duration of job vacancy, all durations 6 7","21,930","25,215","20,710","20,775","17,510","23,750","24,975","24,815","24,055","26,425","28,005","27,485","27,975","33,060","32,870","33,865","28,315","36,300","33,880","26,665","26,815","..","..","30,125","30,555","43,495","54,850","52,860","54,640"
,"Less than 15 days 7","5,150","6,315","5,080","4,460","3,855","6,200","5,335","4,340","F","6,075","4,855","5,750","5,535","6,785","5,425","4,740","5,970","6,665","5,845","4,550","7,680","..","..","7,720","8,165","10,675","8,015","6,655","9,145"
,"15 to 29 days 7","F","4,790","3,580","3,200","2,765","4,260","3,485","4,110","3,735","4,770","4,235","4,520","4,330","5,455","6,140","5,400","4,050","7,065","5,095","4,790","4,715","..","..","5,665","5,495","9,305","8,615","7,755","7,450"
,"30 to 59 days 7","F","4,160","2,720","3,960","2,915","2,980","2,680","3,205","2,215","4,600","4,525","3,575","3,400","4,420","4,850","5,835","3,250","5,140","5,050","3,210","4,580","..","..","4,300","4,605","7,525","9,695","9,540","7,870"
,"60 to 89 days 7","F","1,385","1,100","880","655","905","1,420","1,175","1,315","1,430","1,865","1,730","1,680","2,460","2,235","2,945","1,390","1,925","2,135","1,565","1,725","..","..","2,610","1,975","3,445","6,650","5,535","4,990"
,"90 days or more 7","F","2,630","2,545","1,830","1,885","1,565","1,670","1,800","1,800","1,925","3,710","2,655","3,155","4,385","3,470","3,765","3,815","4,210","4,270","3,270","8,115","..","..","9,825","10,315","12,545","21,875","23,385","25,180"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","650","..","..","1,435","1,635","1,580","3,000","3,110","3,025"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","7,460","..","..","8,390","8,680","10,965","18,875","20,270","22,155"
"Natural resources, agriculture and related production occupations  [8]","Duration of job vacancy, all durations 6 7","F","9,045","5,345","4,585","4,660","7,405","5,000","4,640","5,845","8,525","5,700","6,625","7,585","9,170","7,260","6,800","7,690","9,135","7,085","5,390","5,615","..","..","6,275","6,650","10,690","8,275","8,445","8,045"
,"Less than 15 days 7","F","2,380","1,215","700","1,645","2,315","1,045","550","995","F","825","1,520","1,375","1,370","1,140","1,360","1,475","2,040","1,225","545","1,305","..","..","1,800","1,670","1,820","1,425","935","1,795"
,"15 to 29 days 7","F","2,090","670","320","475","1,950","855","1,195","745","1,480","1,210","815","1,350","1,225","1,005","585","1,210","1,315","495","410","790","..","..","480","1,100","1,675","1,150","1,185","1,265"
,"30 to 59 days 7","F","870","440","1,215","405","855","400","1,010","1,330","605","675","1,035","1,115","1,860","710","790","595","1,155","640","705","735","..","..","1,040","890","2,980","1,685","1,825","1,065"
,"60 to 89 days 7","F","450","F","F","F","340","F","185","390","450","F","170","F","720","285","150","F","F","335","F","245","..","..","305","815","1,230","610","1,090","490"
,"90 days or more 7","F","820","255","135","395","F","290","135","440","1,175","655","F","330","515","1,300","650","870","660","765","F","2,535","..","..","2,645","2,180","2,985","3,405","3,410","3,430"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","F","F","400","445","F","F"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2,325","..","..","2,265","2,020","2,585","2,960","3,135","3,010"
"Occupations in manufacturing and utilities  [9]","Duration of job vacancy, all durations 6 7","8,725","8,615","7,585","9,215","6,375","8,445","9,490","7,340","9,580","9,860","10,955","10,240","10,665","10,860","11,990","13,035","10,655","10,635","11,605","10,155","9,615","..","..","11,940","11,780","14,575","20,840","19,635","20,250"
,"Less than 15 days 7","F","2,510","2,090","2,335","1,830","3,150","2,865","1,300","1,765","2,020","2,115","1,875","2,350","2,445","2,125","1,710","1,865","1,920","2,280","1,635","3,225","..","..","3,195","3,380","3,865","3,010","2,835","3,280"
,"15 to 29 days 7","F","2,485","2,000","2,705","1,045","1,900","2,515","1,875","2,635","2,090","2,635","1,630","1,795","1,975","2,000","1,810","2,145","2,375","2,620","F","1,650","..","..","2,965","2,260","3,500","3,795","2,815","3,115"
,"30 to 59 days 7","F","1,000","1,175","1,385","1,155","1,400","1,725","1,485","1,115","1,405","1,675","1,810","1,545","1,770","2,170","1,875","1,590","2,260","2,245","1,275","1,395","..","..","1,925","2,420","3,015","4,410","3,295","3,405"
,"60 to 89 days 7","F","425","145","365","310","280","195","195","590","270","735","595","370","460","910","1,080","890","535","390","335","770","..","..","1,340","865","955","2,380","2,140","2,240"
,"90 days or more 7","F","565","550","695","375","445","480","425","F","955","1,120","1,010","1,330","900","1,150","1,870","1,405","1,105","945","930","2,575","..","..","2,515","2,855","3,240","7,240","8,555","8,210"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","315","..","..","235","285","740","1,405","1,420","1,300"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2,260","..","..","2,280","2,570","2,500","5,835","7,135","6,910"
"Unclassified occupations 8","Duration of job vacancy, all durations 6 7","..","9,625","5,180","4,840","3,175","5,280","F","F","7,250","F","F","F","300","F","570","F","F","F","F","F","F","..","..","160","225","285","190","830","230"
,"Less than 15 days 7","..","1,610","1,810","F","825","1,730","F","F","1,335","F","F","F","F","F","F","F","F","15","F","F","F","..","..","F","100","F","F","F","F"
,"15 to 29 days 7","..","F","1,050","800","730","985","F","F","1,550","F","F","F","F","F","F","F","F","F","F","F","F","..","..","F","20","F","F","F","F"
,"30 to 59 days 7","..","1,460","795","885","600","850","F","F","1,150","F","F","F","F","F","F","F","F","115","F","F","F","..","..","F","30","F","40","35","F"
,"60 to 89 days 7","..","570","F","235","180","155","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","..","..","F","10","F","F","F","F"
,"90 days or more 7","..","F","F","F","415","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","..","..","F","F","45","25","F","F"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","F","F","F","10","F","F"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","F","30","45","15","F","F"

Symbol legend:
.., not available for a specific reference period
E, use with caution
F, too unreliable to be published
A, data quality: excellent
B, data quality: very good
C, data quality: good
D, data quality: acceptable




Footnotes:
1,"Data quality indicators are based on the coefficient of variation (CV), the non-response errors, the imputation errors, and subject matter expertise: A – Excellent; B - Very good; C - Good; D – Acceptable; E - Use with caution; F - Too unreliable to publish."
2,"Data for the second and third quarters of 2020 are unavailable due to some Statistics Canada operations being temporarily suspended during the COVID-19 pandemic."
3,"A job is vacant if it meets the following conditions: it is vacant on the reference date (first day of the month) or will become vacant during the month; there are tasks to be carried out during the month for the job in question; and the employer is actively seeking a worker outside the organization to fill the job. The jobs could be full-time, part-time, permanent, temporary, casual, or seasonal. Jobs reserved for subcontractors, external consultants, or other workers who are not considered employees, are excluded."
4,"Occupation estimates are based on the <a href="https://www.statcan.gc.ca/eng/subjects/standard/noc/2016/indexV1.3">National Occupational Classification (NOC) 2016</a>."
5,"Includes ‘Unclassified occupations'. Previously released data for the first quarter of 2015 excluded this category."
8,"Improvements were made to the occupation coding procedures starting in the second quarter of 2017. This has resulted in a decrease in the number of vacancies for which the occupation is unclassified. The new coding procedures do not affect the total number of vacancies."
6,"The duration of job vacancy is the number of days the job has been vacant. In the context of the Job Vacancy and Wage Survey, it refers to the number of days of active recruitment."
7,"Starting in the first quarter of 2020, 'constantly recruiting' was removed as a response category for the duration of a job vacancy, and moved to a separate question. At the same time, the job vacancy duration category '90 days or more' was split into two new response categories: '90 to 119 days' and '120 days or more'. Comparison of this data from before and after these changes is not recommended."



"How to cite: Statistics Canada. Table 14-10-0328-03  Job vacancies, proportion of job vacancies and average offered hourly wage by occupation and duration of job vacancy, quarterly, unadjusted for seasonality"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410032803
