"Job vacancies, proportion of job vacancies and average offered hourly wage by occupation and duration of job vacancy, quarterly, unadjusted for seasonality 1 2"
"Frequency: Quarterly"
"Table: 14-10-0328-03"
"Release date: 2022-06-21"
"Geography: Canada, Province or territory"
""
""

,"Geography","Manitoba",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"90 days or more 7","F","225","F","95","35","60","30","F","85","1,070","1,130","1,205","1,615","1,390","1,440","1,125","1,150","450","1,110","1,135","F","..","..","F","1,735","F","F","F","F"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","F","765","F","F","F","F"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","F","970","F","F","F","F"
"Occupations in education, law and social, community and government services  [4]","Duration of job vacancy, all durations 6 7","F","975","1,140","1,100","1,040","800","980","885","630","1,180","1,310","1,320","1,090","1,490","1,375","1,310","1,140","1,175","1,475","1,460","1,445","..","..","1,555","1,510","1,775","2,200","2,465","2,530"
,"Less than 15 days 7","F","340","405","275","365","365","355","320","215","330","400","315","185","455","315","380","270","405","260","255","300","..","..","375","385","645","690","670","490"
,"15 to 29 days 7","F","275","155","F","345","165","170","285","175","180","215","185","175","330","310","185","200","325","270","320","230","..","..","280","485","415","555","310","620"
,"30 to 59 days 7","F","135","F","120","105","85","155","85","60","165","135","110","115","135","F","175","200","135","155","160","340","..","..","205","F","300","340","515","505"
,"60 to 89 days 7","F","F","50","F","15","F","F","40","F","40","F","F","25","60","F","F","40","F","105","115","F","..","..","F","170","F","90","330","195"
,"90 days or more 7","F","F","F","F","45","45","F","F","40","355","435","595","515","265","155","285","270","F","495","320","460","..","..","535","290","300","525","635","725"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","F","35","F","50","190","105"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","390","..","..","485","255","230","475","445","620"
"Occupations in art, culture, recreation and sport  [5]","Duration of job vacancy, all durations 6 7","F","160","195","130","160","290","130","110","115","205","280","x","140","370","240","215","155","310","230","235","445","..","..","265","x","x","440","480","445"
,"Less than 15 days 7","F","60","75","F","75","140","55","45","60","90","F","x","50","120","50","F","F","75","70","90","295","..","..","20","x","x","160","105","F"
,"15 to 29 days 7","F","45","50","25","20","60","20","25","20","50","F","x","F","F","50","10","F","F","20","20","F","..","..","25","x","x","35","90","60"
,"30 to 59 days 7","F","F","F","35","F","60","30","5","30","F","115","x","20","F","105","100","20","F","F","35","80","..","..","F","x","x","90","120","30"
,"60 to 89 days 7","F","F","F","10","F","5","F","F","F","F","F","x","15","95","F","F","F","90","0","F","5","..","..","F","x","x","F","F","15"
,"90 days or more 7","F","F","10","F","F","F","F","0","0","40","F","x","20","F","F","25","10","F","115","70","F","..","..","F","x","x","150","140","160"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","F","x","x","F","80","F"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","5","..","..","F","x","x","140","F","130"
"Sales and service occupations  [6]","Duration of job vacancy, all durations 6 7","4,240","4,645","4,145","3,350","2,860","3,605","3,635","3,790","3,055","4,820","4,030","4,040","3,550","4,375","4,330","4,910","3,650","5,160","4,500","5,045","4,765","..","..","4,440","3,755","5,360","7,800","7,790","6,850"
,"Less than 15 days 7","F","1,865","1,650","1,135","1,170","1,135","1,435","1,630","1,165","1,790","1,415","1,250","1,015","1,400","1,305","2,015","965","2,455","1,780","1,585","1,965","..","..","1,860","1,715","2,110","2,475","1,950","2,030"
,"15 to 29 days 7","F","920","900","850","515","1,090","890","685","475","900","725","690","480","895","850","775","815","1,125","840","1,140","1,055","..","..","1,080","750","1,295","2,210","1,560","1,540"
,"30 to 59 days 7","F","540","415","385","370","410","305","330","455","570","380","530","675","550","500","665","495","435","355","575","460","..","..","615","525","1,185","1,475","1,300","1,200"
,"60 to 89 days 7","F","55","140","45","100","170","250","245","F","45","F","325","125","190","210","180","185","120","305","250","90","..","..","350","160","F","545","635","415"
,"90 days or more 7","F","330","185","135","185","170","180","F","350","345","420","360","380","285","210","235","285","225","300","485","1,195","..","..","535","605","520","1,095","2,345","1,665"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","300","..","..","100","95","F","160","565","105"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","900","..","..","435","510","405","935","1,780","1,560"
"Trades, transport and equipment operators and related occupations  [7]","Duration of job vacancy, all durations 6 7","F","2,725","2,435","1,900","1,615","1,680","1,945","1,675","1,695","2,470","2,485","2,205","2,370","2,880","3,155","2,545","3,025","3,145","3,515","2,425","3,335","..","..","3,195","4,075","4,935","4,920","5,200","6,570"
,"Less than 15 days 7","F","890","805","495","515","570","635","455","455","790","595","520","630","760","635","550","490","815","1,040","485","765","..","..","750","1,245","1,495","655","570","895"
,"15 to 29 days 7","F","290","535","300","260","300","460","250","365","505","440","455","455","485","455","420","420","375","360","270","440","..","..","560","700","F","925","665","875"
,"30 to 59 days 7","F","310","225","165","75","220","220","280","F","245","530","265","215","345","505","285","270","445","630","355","F","..","..","500","745","760","1,045","930","1,460"
,"60 to 89 days 7","F","190","F","35","F","110","80","F","F","110","F","85","185","F","135","100","215","80","305","F","145","..","..","75","120","255","440","705","780"
,"90 days or more 7","F","F","135","265","160","70","35","F","155","F","140","390","230","F","390","335","665","355","320","300","1,065","..","..","1,305","1,275","1,030","1,855","2,330","2,560"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","F","50","110","F","F","170"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","815","..","..","1,240","1,225","915","1,570","2,080","2,390"
"Natural resources, agriculture and related production occupations  [8]","Duration of job vacancy, all durations 6 7","F","780","475","365","425","530","290","465","470","690","280","345","420","595","x","235","605","375","255","170","250","..","..","350","715","955","535","595","530"
,"Less than 15 days 7","F","230","F","F","150","210","F","F","195","150","F","F","F","240","x","F","F","120","F","F","60","..","..","F","235","370","F","15","F"
,"15 to 29 days 7","F","F","F","F","F","135","F","F","F","125","F","F","F","115","x","F","F","65","F","F","F","..","..","F","115","155","140","F","110"
,"30 to 59 days 7","F","135","F","F","F","F","F","0","F","F","F","30","50","F","x","F","0","F","F","0","F","..","..","F","F","F","F","F","155"
,"60 to 89 days 7","0","F","5","0","10","F","0","0","F","5","F","0","55","F","x","F","F","F","F","5","F","..","..","F","F","F","F","F","F"
,"90 days or more 7","F","F","F","F","F","F","F","F","35","F","F","F","F","F","x","F","F","F","F","F","F","..","..","85","F","F","155","245","120"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","0","0","F","F","F","0"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","85","F","F","135","200","120"
"Occupations in manufacturing and utilities  [9]","Duration of job vacancy, all durations 6 7","F","495","535","435","440","415","390","385","350","490","420","485","505","605","620","465","430","515","575","365","420","..","..","695","750","1,035","1,005","1,160","1,495"
,"Less than 15 days 7","F","115","145","145","105","175","155","145","125","190","125","70","185","125","135","100","90","125","205","125","180","..","..","330","205","255","160","180","185"
,"15 to 29 days 7","F","170","F","60","75","70","120","95","100","115","110","230","95","160","100","80","100","145","110","80","125","..","..","90","175","245","310","350","285"
,"30 to 59 days 7","F","130","40","50","25","F","55","40","25","15","65","65","75","135","125","75","65","110","45","25","60","..","..","125","85","135","225","140","100"
,"60 to 89 days 7","F","F","F","20","F","F","5","10","F","35","10","F","15","70","90","105","35","10","20","25","15","..","..","F","45","40","F","60","F"
,"90 days or more 7","F","F","F","F","F","F","40","F","F","F","10","F","F","F","50","25","20","35","20","20","45","..","..","110","240","360","240","435","785"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0","..","..","F","F","80","30","40","F"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","45","..","..","90","235","275","210","395","665"
"Unclassified occupations 8","Duration of job vacancy, all durations 6 7","..","525","430","75","285","F","F","F","F","F","F","x","20","F","x","F","F","F","F","F","F","..","..","F","x","x","F","F","F"
,"Less than 15 days 7","..","190","F","20","F","F","F","F","F","F","F","x","F","0","x","F","0","0","F","F","F","..","..","F","x","x","F","F","F"
,"15 to 29 days 7","..","F","F","10","F","F","F","F","F","F","F","x","F","F","x","F","F","F","F","F","F","..","..","F","x","x","F","F","F"
,"30 to 59 days 7","..","20","150","10","F","F","F","F","F","0","F","x","F","F","x","F","F","0","F","F","F","..","..","F","x","x","F","F","F"
,"60 to 89 days 7","..","F","5","F","F","F","F","F","F","0","F","x","0","0","x","F","0","F","F","F","F","..","..","F","x","x","F","F","0"
,"90 days or more 7","..","F","F","F","F","F","F","0","F","0","F","x","F","F","x","F","F","0","F","0","F","..","..","F","x","x","F","F","0"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0","..","..","0","x","x","F","F","0"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","F","x","x","F","F","0"

Symbol legend:
.., not available for a specific reference period
x, suppressed to meet the confidentiality requirements of the Statistics Act
E, use with caution
F, too unreliable to be published
A, data quality: excellent
B, data quality: very good
C, data quality: good
D, data quality: acceptable




Footnotes:
1,"Data quality indicators are based on the coefficient of variation (CV), the non-response errors, the imputation errors, and subject matter expertise: A – Excellent; B - Very good; C - Good; D – Acceptable; E - Use with caution; F - Too unreliable to publish."
2,"Data for the second and third quarters of 2020 are unavailable due to some Statistics Canada operations being temporarily suspended during the COVID-19 pandemic."
3,"A job is vacant if it meets the following conditions: it is vacant on the reference date (first day of the month) or will become vacant during the month; there are tasks to be carried out during the month for the job in question; and the employer is actively seeking a worker outside the organization to fill the job. The jobs could be full-time, part-time, permanent, temporary, casual, or seasonal. Jobs reserved for subcontractors, external consultants, or other workers who are not considered employees, are excluded."
4,"Occupation estimates are based on the <a href="https://www.statcan.gc.ca/eng/subjects/standard/noc/2016/indexV1.3">National Occupational Classification (NOC) 2016</a>."
5,"Includes ‘Unclassified occupations'. Previously released data for the first quarter of 2015 excluded this category."
8,"Improvements were made to the occupation coding procedures starting in the second quarter of 2017. This has resulted in a decrease in the number of vacancies for which the occupation is unclassified. The new coding procedures do not affect the total number of vacancies."
6,"The duration of job vacancy is the number of days the job has been vacant. In the context of the Job Vacancy and Wage Survey, it refers to the number of days of active recruitment."
7,"Starting in the first quarter of 2020, 'constantly recruiting' was removed as a response category for the duration of a job vacancy, and moved to a separate question. At the same time, the job vacancy duration category '90 days or more' was split into two new response categories: '90 to 119 days' and '120 days or more'. Comparison of this data from before and after these changes is not recommended."



"How to cite: Statistics Canada. Table 14-10-0328-03  Job vacancies, proportion of job vacancies and average offered hourly wage by occupation and duration of job vacancy, quarterly, unadjusted for seasonality"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410032803
