,"15 to 29 days 7","6,110","7,090","4,720","5,100","5,580","6,510","6,190","5,315","5,420","6,950","6,310","5,740","7,245","8,110","7,430","7,715","8,450","8,065","7,810","7,060","9,225","..","..","8,390","10,960","11,825","11,915","12,155","12,935"
,"30 to 59 days 7","5,605","6,725","4,905","4,735","5,390","5,710","5,750","5,615","6,210","6,735","8,240","7,170","7,245","9,310","9,885","9,405","10,530","10,075","8,150","9,010","9,695","..","..","8,820","10,830","12,775","15,560","16,165","15,340"
,"60 to 89 days 7","F","2,285","2,280","2,185","1,980","1,975","2,925","2,335","2,345","3,220","3,395","3,790","3,885","3,690","4,435","4,450","4,280","4,570","3,830","4,890","5,550","..","..","5,405","5,305","6,660","9,230","9,580","8,555"
,"90 days or more 7","4,780","3,615","2,860","3,500","3,320","3,095","4,050","3,375","4,680","4,360","4,900","4,920","6,390","6,725","6,710","8,275","7,940","8,435","7,240","7,735","11,435","..","..","8,625","9,560","10,945","15,805","18,585","21,135"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","3,240","..","..","2,200","2,885","3,835","4,250","4,490","5,480"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","8,195","..","..","6,430","6,675","7,110","11,560","14,095","15,650"
"Health occupations  [3]","Duration of job vacancy, all durations 6 7","22,850","23,185","21,200","20,935","22,650","24,205","22,940","22,150","24,800","26,305","27,465","27,425","29,975","36,110","35,425","34,190","37,665","41,460","40,340","37,475","43,390","..","..","65,435","63,660","72,005","79,675","78,570","82,830"
,"Less than 15 days 7","3,625","4,210","4,790","4,845","4,205","5,370","5,300","5,495","4,220","5,665","5,505","4,960","4,730","7,650","6,510","5,515","6,295","6,875","4,960","6,160","7,175","..","..","8,085","8,100","12,485","9,795","7,710","7,975"
,"15 to 29 days 7","3,925","4,940","3,610","3,120","4,160","4,290","4,085","3,510","3,615","5,465","4,655","4,470","4,135","6,160","4,795","4,435","5,220","7,060","6,100","4,945","4,975","..","..","7,850","7,785","8,255","8,055","9,610","8,085"
,"30 to 59 days 7","F","2,840","3,415","2,555","3,260","3,505","3,375","3,280","5,230","3,530","3,330","4,125","4,675","4,575","4,710","5,515","5,580","7,045","6,080","5,465","6,300","..","..","14,415","11,115","10,890","14,095","12,870","12,265"
,"60 to 89 days 7","F","1,770","1,150","1,720","1,110","1,505","1,360","1,585","2,570","1,710","1,720","2,655","2,380","2,805","3,285","3,360","4,145","3,110","3,295","4,245","6,175","..","..","6,355","8,160","8,375","7,080","8,775","12,925"
,"90 days or more 7","F","3,785","2,275","3,570","3,370","3,845","3,730","3,645","3,995","4,405","6,410","5,310","7,115","7,755","6,875","7,110","8,565","7,695","8,835","8,260","18,765","..","..","28,730","28,500","32,000","40,655","39,605","41,580"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","3,170","..","..","6,240","4,250","5,060","6,005","6,430","6,470"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","15,595","..","..","22,490","24,255","26,940","34,650","33,175","35,105"
"Occupations in education, law and social, community and government services  [4]","Duration of job vacancy, all durations 6 7","21,335","20,520","19,065","18,590","18,555","20,910","21,620","20,080","20,655","25,015","26,915","26,030","28,230","32,475","35,190","33,280","33,620","35,505","34,260","33,420","36,040","..","..","42,300","44,005","49,300","50,475","60,095","66,975"
,"Less than 15 days 7","6,075","6,195","6,405","5,355","5,895","6,730","7,665","6,240","5,000","7,095","7,610","6,970","6,545","8,825","8,420","6,635","6,480","8,845","8,325","7,060","8,290","..","..","10,135","10,215","13,125","10,640","10,020","12,220"
,"15 to 29 days 7","F","4,775","5,035","4,045","4,185","5,170","5,885","4,755","4,690","6,100","6,220","5,955","5,335","5,575","7,490","6,915","6,680","7,120","6,950","5,325","7,470","..","..","7,285","8,570","10,295","10,300","10,040","10,775"
,"30 to 59 days 7","F","3,075","2,900","2,585","2,605","3,415","3,190","2,710","2,775","3,925","4,555","3,740","4,695","4,940","6,245","5,720","5,660","5,225","4,785","5,705","6,870","..","..","8,065","6,985","8,270","9,325","12,765","12,385"
,"60 to 89 days 7","F","1,165","845","1,145","705","1,275","980","1,080","1,075","1,185","1,025","1,505","1,560","1,895","1,510","1,860","2,730","2,315","1,835","2,100","2,495","..","..","4,505","3,470","4,035","4,470","5,510","6,065"
,"90 days or more 7","F","1,675","1,320","1,400","1,535","1,325","1,490","1,585","2,290","2,055","2,570","2,785","2,740","2,750","3,670","3,945","3,215","3,280","3,800","3,985","10,915","..","..","12,310","14,765","13,570","15,745","21,760","25,525"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1,505","..","..","1,590","1,820","2,360","2,145","3,660","3,935"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","9,410","..","..","10,720","12,945","11,210","13,600","18,100","21,590"
"Occupations in art, culture, recreation and sport  [5]","Duration of job vacancy, all durations 6 7","9,760","13,020","6,640","6,560","7,565","10,520","8,160","7,985","10,930","14,525","8,895","8,415","10,305","12,170","10,185","10,600","12,770","13,725","11,805","10,375","11,735","..","..","8,140","11,015","14,415","16,450","16,060","16,285"
,"Less than 15 days 7","F","3,080","2,415","1,800","2,935","3,335","2,260","1,760","2,675","4,095","2,375","1,605","2,415","3,135","2,410","2,705","3,580","3,245","3,005","2,675","4,290","..","..","2,365","4,850","4,530","3,760","2,430","3,980"
,"15 to 29 days 7","F","2,740","1,735","1,465","1,650","3,055","1,870","1,890","3,215","2,820","2,235","1,495","2,610","3,240","2,635","1,900","3,320","3,365","2,295","1,715","2,645","..","..","1,875","2,380","2,875","3,690","3,305","3,260"
,"30 to 59 days 7","F","2,305","1,350","1,705","1,215","2,025","1,770","1,960","2,340","2,845","1,495","1,905","1,615","2,765","2,780","2,420","2,190","2,265","2,660","2,550","1,895","..","..","2,025","1,555","3,470","3,505","4,265","3,205"
,"60 to 89 days 7","F","530","210","410","365","635","330","410","460","850","560","1,030","750","835","490","1,065","1,080","1,270","410","630","820","..","..","405","1,150","1,595","1,940","2,165","1,870"
,"90 days or more 7","F","815","325","460","560","535","645","670","770","2,340","865","1,040","1,125","890","730","1,025","1,180","2,180","1,245","1,235","2,085","..","..","1,475","1,080","1,945","3,555","3,895","3,975"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","405","..","..","255","200","645","895","995","695"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1,675","..","..","1,220","880","1,300","2,660","2,900","3,280"
"Sales and service occupations  [6]","Duration of job vacancy, all durations 6 7","150,140","162,655","164,250","143,590","115,070","142,840","147,700","141,805","122,670","165,920","168,255","174,990","144,335","187,520","185,680","191,920","154,845","196,040","197,480","178,010","158,110","..","..","175,760","141,580","224,620","338,115","324,175","274,255"
,"Less than 15 days 7","46,635","50,240","53,520","40,645","39,430","40,330","43,140","39,160","33,415","46,395","46,285","42,585","36,660","49,640","45,710","43,830","39,025","52,320","48,500","40,410","50,780","..","..","56,090","47,725","71,235","66,010","49,220","62,120"
,"15 to 29 days 7","31,190","38,580","36,630","32,375","25,995","32,760","34,480","30,720","26,520","35,735","34,645","39,925","27,280","38,575","39,530","40,855","29,390","40,115","40,460","38,050","32,205","..","..","40,960","32,665","53,070","75,370","56,810","51,045"
,"30 to 59 days 7","21,765","21,815","20,030","20,750","13,425","18,145","20,465","22,440","17,945","25,915","24,765","28,125","23,375","30,200","27,155","33,705","23,315","27,350","26,300","26,250","24,130","..","..","32,105","20,415","42,160","69,335","59,980","46,175"
,"60 to 89 days 7","F","5,325","6,945","7,105","4,085","6,750","7,115","7,845","6,165","7,280","7,915","9,390","6,755","10,780","9,905","10,350","7,185","8,960","9,975","9,675","10,025","..","..","14,695","10,625","15,565","34,375","37,915","21,635"
,"90 days or more 7","9,115","10,400","8,950","8,015","7,280","13,960","10,365","11,465","12,240","15,555","13,060","12,005","14,580","15,630","15,845","15,130","15,115","17,630","17,720","15,440","40,970","..","..","31,905","30,150","42,590","93,025","120,250","93,280"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","5,395","..","..","4,420","3,955","6,800","17,760","19,870","13,585"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","35,575","..","..","27,490","26,195","35,790","75,265","100,385","79,695"
"Trades, transport and equipment operators and related occupations  [7]","Duration of job vacancy, all durations 6 7","67,050","68,630","61,175","51,025","44,765","52,860","58,875","55,690","60,185","73,010","83,060","79,805","82,240","102,160","105,640","98,560","87,995","105,210","101,295","83,960","85,945","..","..","92,740","97,515","131,520","156,965","158,840","159,260"
,"Less than 15 days 7","15,045","18,240","15,300","11,875","11,170","15,360","15,355","12,670","17,040","19,680","16,970","15,610","17,105","20,780","17,925","14,245","15,465","20,390","16,835","12,980","22,610","..","..","21,705","24,470","32,005","21,795","19,700","26,125"
,"15 to 29 days 7","11,480","12,000","11,075","8,395","7,220","9,870","9,365","9,330","10,230","14,555","13,910","13,330","12,770","16,860","16,910","13,850","11,345","17,140","15,315","12,185","13,655","..","..","15,015","16,685","27,790","26,015","20,750","23,155"
,"30 to 59 days 7","9,935","9,885","7,750","7,855","5,825","6,865","7,525","7,420","7,225","11,115","15,570","11,920","10,555","14,680","15,280","14,940","12,240","14,875","16,345","11,395","13,515","..","..","15,620","16,930","22,585","27,930","27,875","23,570"
,"60 to 89 days 7","F","2,890","3,010","2,255","1,840","2,230","3,100","3,040","3,305","3,295","5,220","4,940","5,165","6,235","8,915","6,960","4,710","5,470","5,860","4,865","5,865","..","..","8,055","6,935","11,195","16,785","16,535","15,585"
,"90 days or more 7","F","6,695","6,615","5,195","3,960","3,770","4,945","5,260","5,145","5,995","9,205","8,775","10,145","12,700","12,640","14,020","13,805","13,205","13,720","12,170","30,300","..","..","32,340","32,495","37,945","64,435","73,980","70,825"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","3,380","..","..","4,790","4,100","4,685","9,035","11,025","9,215"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","26,920","..","..","27,555","28,400","33,255","55,400","62,950","61,610"
"Natural resources, agriculture and related production occupations  [8]","Duration of job vacancy, all durations 6 7","18,995","24,660","15,150","10,965","11,590","19,190","13,640","13,045","14,605","21,475","17,375","16,015","20,065","23,965","20,600","18,385","20,065","23,980","19,985","15,185","16,375","..","..","16,405","18,935","28,060","23,870","22,790","24,045"
,"Less than 15 days 7","F","7,455","4,720","2,560","4,465","5,940","3,380","2,585","3,115","6,270","4,050","3,115","4,185","4,325","3,730","2,885","3,825","4,800","5,300","2,920","4,285","..","..","4,190","5,955","7,235","3,820","3,255","5,250"
,"15 to 29 days 7","F","4,365","1,855","975","1,365","3,900","3,250","3,580","2,250","4,290","3,200","2,790","3,005","3,765","3,425","3,020","2,790","3,765","1,935","2,005","2,635","..","..","2,465","3,180","4,570","3,825","3,195","3,570"
,"30 to 59 days 7","F","2,880","1,745","2,015","905","2,615","1,055","2,575","3,150","2,430","2,395","3,165","3,500","3,790","2,970","2,210","2,165","3,740","1,680","1,520","2,210","..","..","2,150","3,050","7,205","5,030","3,995","4,310"
,"60 to 89 days 7","F","1,205","735","500","585","950","285","525","1,005","1,325","1,390","460","1,695","2,185","1,800","1,035","1,355","1,560","885","F","1,200","..","..","975","1,520","2,385","2,165","3,010","1,560"
,"90 days or more 7","F","2,865","1,140","595","985","1,215","855","690","1,230","2,575","1,770","1,605","1,785","2,665","2,685","2,830","2,275","2,735","2,405","1,525","6,045","..","..","6,625","5,235","6,665","9,030","9,335","9,350"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","1,675","680","940","1,405","1,195","1,155"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","5,070","..","..","4,950","4,550","5,725","7,630","8,145","8,195"
"Occupations in manufacturing and utilities  [9]","Duration of job vacancy, all durations 6 7","19,970","20,695","18,820","17,575","13,910","18,620","20,810","17,860","20,650","23,690","26,400","24,960","25,450","29,970","30,120","29,370","26,415","30,155","30,640","25,655","24,295","..","..","32,920","34,060","43,095","53,625","53,145","51,830"
,"Less than 15 days 7","F","5,990","5,040","4,310","4,140","6,535","5,900","3,330","4,610","5,240","4,770","3,980","5,265","5,880","4,520","4,225","4,005","4,605","4,685","3,305","6,235","..","..","6,455","6,230","8,865","5,855","4,845","6,740"
,"15 to 29 days 7","F","5,040","4,280","4,020","2,540","3,975","5,345","4,295","5,050","4,435","5,490","4,205","4,545","4,995","4,630","4,090","4,580","5,320","5,960","4,330","3,875","..","..","6,165","6,415","8,255","8,255","6,660","7,515"
,"30 to 59 days 7","F","2,650","2,535","2,215","1,815","3,025","3,120","2,975","2,535","3,930","4,480","4,275","3,895","5,085","5,005","4,470","3,500","6,125","4,865","3,575","3,315","..","..","5,520","5,830","7,645","9,690","8,070","7,935"
,"60 to 89 days 7","F","1,000","745","675","710","670","680","815","1,100","1,130","1,765","1,775","1,265","1,685","2,200","2,335","1,715","1,650","1,360","1,135","1,905","..","..","3,635","3,095","3,545","6,690","6,220","5,090"
,"90 days or more 7","F","1,860","1,140","1,585","670","815","980","1,285","2,170","2,365","2,125","2,560","2,445","2,590","3,055","3,625","3,015","2,855","2,705","2,380","8,965","..","..","11,145","12,495","14,785","23,135","27,355","24,550"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","825","..","..","1,285","835","2,335","3,585","3,055","3,200"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","8,145","..","..","9,860","11,665","12,450","19,550","24,300","21,350"
"Unclassified occupations 8","Duration of job vacancy, all durations 6 7","..","19,370","12,890","8,990","8,330","13,905","F","F","14,610","F","F","F","3,500","F","2,275","F","F","2,505","1,000","1,410","F","..","..","750","F","1,660","F","1,410","F"
,"Less than 15 days 7","..","4,320","3,810","3,290","2,210","4,155","F","F","3,850","F","F","F","F","F","F","F","F","F","F","695","F","..","..","F","F","F","F","F","F"
,"15 to 29 days 7","..","6,335","2,590","1,840","2,110","2,670","F","F","3,995","F","F","F","F","F","F","F","F","F","F","F","F","..","..","F","F","F","F","F","F"
,"30 to 59 days 7","..","3,135","1,950","1,470","1,820","2,805","F","F","1,910","F","F","F","F","F","F","F","F","235","F","F","F","..","..","F","F","780","F","F","F"
,"60 to 89 days 7","..","1,230","915","430","425","600","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","..","..","F","F","130","F","F","F"
,"90 days or more 7","..","1,170","720","645","865","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","..","..","F","F","300","F","F","F"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","F","F","F","F","F","F"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","F","F","230","F","F","F"

Symbol legend:
.., not available for a specific reference period
E, use with caution
F, too unreliable to be published
A, data quality: excellent
B, data quality: very good
C, data quality: good
D, data quality: acceptable




Footnotes:
1,"Data quality indicators are based on the coefficient of variation (CV), the non-response errors, the imputation errors, and subject matter expertise: A – Excellent; B - Very good; C - Good; D – Acceptable; E - Use with caution; F - Too unreliable to publish."
2,"Data for the second and third quarters of 2020 are unavailable due to some Statistics Canada operations being temporarily suspended during the COVID-19 pandemic."
3,"A job is vacant if it meets the following conditions: it is vacant on the reference date (first day of the month) or will become vacant during the month; there are tasks to be carried out during the month for the job in question; and the employer is actively seeking a worker outside the organization to fill the job. The jobs could be full-time, part-time, permanent, temporary, casual, or seasonal. Jobs reserved for subcontractors, external consultants, or other workers who are not considered employees, are excluded."
4,"Occupation estimates are based on the <a href="https://www.statcan.gc.ca/eng/subjects/standard/noc/2016/indexV1.3">National Occupational Classification (NOC) 2016</a>."
5,"Includes ‘Unclassified occupations'. Previously released data for the first quarter of 2015 excluded this category."
8,"Improvements were made to the occupation coding procedures starting in the second quarter of 2017. This has resulted in a decrease in the number of vacancies for which the occupation is unclassified. The new coding procedures do not affect the total number of vacancies."
6,"The duration of job vacancy is the number of days the job has been vacant. In the context of the Job Vacancy and Wage Survey, it refers to the number of days of active recruitment."
7,"Starting in the first quarter of 2020, 'constantly recruiting' was removed as a response category for the duration of a job vacancy, and moved to a separate question. At the same time, the job vacancy duration category '90 days or more' was split into two new response categories: '90 to 119 days' and '120 days or more'. Comparison of this data from before and after these changes is not recommended."



"How to cite: Statistics Canada. Table 14-10-0328-03  Job vacancies, proportion of job vacancies and average offered hourly wage by occupation and duration of job vacancy, quarterly, unadjusted for seasonality"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410032803
