"Job vacancies, payroll employees, job vacancy rate, and average offered hourly wage by provinces and territories, quarterly, unadjusted for seasonality 1 2"
"Frequency: Quarterly"
"Table: 14-10-0325-01 (formerly CANSIM 285-0001)"
"Release date: 2022-06-21"
"Geography: Canada, Province or territory, Economic region"
""
""

"Geography 3","Statistics","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022"
,,"Percentage",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancy rate 6","F","2.6","2.4","2.1","1.7","1.9","1.9","1.5","1.5","2.0","1.6","1.6","1.5","2.3","1.9","2.1","1.7","2.5","2.2","2.3","2.2","..","..","2.6","2.0","3.6","3.4","3.6","3.3"
,,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Average offered hourly wage 7","19.20","17.75","17.90","18.30","20.45","18.65","18.70","19.75","21.25","20.10","19.15","19.55","21.60","20.55","19.85","19.25","22.05","19.25","20.45","20.40","21.00","..","..","18.65","20.95","19.45","19.15","19.65","21.45"
"Prince Edward Island",,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancies 4","F","1,785","1,630","1,615","775","1,690","1,265","1,025","1,140","2,275","1,970","1,335","1,185","2,910","2,575","2,110","1,635","2,325","2,405","1,855","1,685","..","..","2,050","1,470","3,240","3,270","3,470","3,020"
,"Payroll employees 5","54,110","55,735","62,810","61,505","54,690","56,635","63,405","61,830","55,700","59,015","66,355","63,860","56,950","59,455","66,490","65,580","59,385","61,320","68,115","66,960","60,505","..","..","62,225","58,075","61,695","67,390","67,140","61,675"
,,"Percentage",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancy rate 6","F","3.1","2.5","2.6","1.4","2.9","2.0","1.6","2.0","3.7","2.9","2.0","2.0","4.7","3.7","3.1","2.7","3.6","3.4","2.7","2.7","..","..","3.2","2.5","5.0","4.6","4.9","4.7"
,,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Average offered hourly wage 7","13.65","13.80","14.00","14.10","16.60","14.25","15.15","15.90","15.10","15.40","14.75","15.65","15.90","14.40","15.85","16.00","15.75","15.15","15.20","18.00","17.30","..","..","17.10","18.60","18.55","17.95","18.95","19.90"
"Nova Scotia",,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancies 4","9,180","11,710","11,475","8,375","7,865","8,700","9,240","8,465","7,355","10,365","10,285","10,080","9,000","11,910","11,560","11,115","9,425","13,100","13,435","11,850","10,165","..","..","13,025","12,780","15,355","18,160","20,330","18,375"
,"Payroll employees 5","373,150","375,895","391,790","386,150","373,795","373,970","388,945","386,120","374,775","376,705","395,555","391,450","379,590","380,565","398,530","395,210","386,325","391,430","407,640","406,645","394,490","..","..","386,415","380,880","385,710","400,590","403,930","395,770"
,,"Percentage",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancy rate 6","2.4","3.0","2.8","2.1","2.1","2.3","2.3","2.1","1.9","2.7","2.5","2.5","2.3","3.0","2.8","2.7","2.4","3.2","3.2","2.8","2.5","..","..","3.3","3.2","3.8","4.3","4.8","4.4"
,,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Average offered hourly wage 7","16.45","16.25","16.90","16.95","17.90","16.65","17.20","16.75","17.20","16.10","17.75","17.55","17.55","16.95","17.70","18.15","19.65","18.00","17.65","18.55","18.95","..","..","19.90","20.70","19.65","19.65","19.60","20.90"
"New Brunswick",,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancies 4","4,880","10,130","7,690","6,625","4,775","6,840","6,945","6,235","5,690","8,855","7,640","7,045","7,235","10,615","9,775","9,165","7,800","10,080","10,315","9,290","9,000","..","..","12,380","9,695","14,370","15,345","14,380","13,600"
,"Payroll employees 5","274,070","277,185","297,375","292,600","275,795","279,020","301,480","295,610","279,635","282,025","307,510","298,465","281,670","286,465","310,805","305,665","291,000","297,455","320,610","313,030","294,900","..","..","303,760","289,745","297,080","319,485","315,365","301,865"
,,"Percentage",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancy rate 6","1.7","3.5","2.5","2.2","1.7","2.4","2.3","2.1","2.0","3.0","2.4","2.3","2.5","3.6","3.0","2.9","2.6","3.3","3.1","2.9","3.0","..","..","3.9","3.2","4.6","4.6","4.4","4.3"
,,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Average offered hourly wage 7","16.75","15.55","15.05","15.05","15.90","15.85","16.35","15.95","16.80","16.10","16.45","17.40","18.00","16.15","17.25","17.30","17.75","17.20","16.60","17.45","18.20","..","..","18.25","20.05","18.50","18.65","18.70","20.45"
"Quebec",,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancies 4","60,505","70,300","61,445","52,205","52,930","66,975","66,785","63,430","67,720","83,820","87,435","92,455","92,850","116,335","118,405","117,865","114,215","140,420","137,530","126,730","128,410","..","..","148,460","146,865","194,145","238,050","238,140","224,370"
,"Payroll employees 5","3,281,125","3,309,260","3,359,135","3,385,860","3,288,300","3,322,750","3,400,300","3,439,705","3,349,700","3,378,040","3,471,050","3,504,585","3,417,905","3,471,270","3,543,450","3,591,600","3,526,065","3,571,665","3,660,430","3,691,795","3,606,000","..","..","3,511,585","3,380,790","3,489,935","3,649,025","3,729,170","3,656,110"
,,"Percentage",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancy rate 6","1.8","2.1","1.8","1.5","1.6","2.0","1.9","1.8","2.0","2.4","2.5","2.6","2.6","3.2","3.2","3.2","3.1","3.8","3.6","3.3","3.4","..","..","4.1","4.2","5.3","6.1","6.0","5.8"
,,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Average offered hourly wage 7","19.60","18.25","18.80","19.05","20.15","18.55","19.20","18.90","19.60","18.95","19.30","19.55","20.35","19.40","19.70","19.95","20.55","19.85","20.00","20.65","21.30","..","..","21.50","22.20","21.80","21.70","21.80","23.15"
"Ontario",,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancies 4","153,365","178,395","155,810","151,555","138,450","165,460","173,500","162,445","171,060","185,690","184,595","190,440","180,860","205,800","207,010","217,310","193,290","213,225","205,935","191,030","187,360","..","..","210,215","196,385","264,530","338,835","348,260","336,760"
,"Payroll employees 5","5,709,625","5,740,155","5,830,055","5,899,590","5,833,230","5,855,315","5,938,455","6,019,325","5,958,255","5,969,615","6,069,025","6,144,375","6,064,210","6,096,490","6,190,995","6,303,615","6,235,450","6,246,265","6,327,295","6,403,695","6,321,200","..","..","5,914,685","5,819,885","5,872,260","6,063,710","6,290,205","6,283,560"
,,"Percentage",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancy rate 6","2.6","3.0","2.6","2.5","2.3","2.7","2.8","2.6","2.8","3.0","3.0","3.0","2.9","3.3","3.2","3.3","3.0","3.3","3.2","2.9","2.9","..","..","3.4","3.3","4.3","5.3","5.2","5.1"
,,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Average offered hourly wage 7","18.95","19.35","19.00","19.30","20.15","20.15","20.70","20.35","20.70","19.80","20.45","20.30","21.85","21.70","21.75","21.85","22.55","22.05","22.15","22.65","23.55","..","..","23.10","24.75","23.85","23.15","23.70","25.10"
"Manitoba",,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancies 4","14,210","14,455","13,150","10,990","10,495","11,625","11,260","11,210","10,585","14,835","13,850","14,080","13,355","15,910","15,270","15,230","13,960","15,565","15,960","15,295","16,995","..","..","18,200","17,505","21,830","24,330","25,765","27,520"
,"Payroll employees 5","553,115","559,260","562,330","568,545","558,715","560,330","568,275","576,640","566,565","568,660","578,430","583,040","570,715","574,370","583,955","591,515","581,315","584,375","592,755","596,345","583,720","..","..","562,270","546,365","565,480","573,505","590,920","585,790"
,,"Percentage",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancy rate 6","2.5","2.5","2.3","1.9","1.8","2.0","1.9","1.9","1.8","2.5","2.3","2.4","2.3","2.7","2.5","2.5","2.3","2.6","2.6","2.5","2.8","..","..","3.1","3.1","3.7","4.1","4.2","4.5"
,,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Average offered hourly wage 7","18.15","18.05","17.65","18.45","18.65","18.15","18.45","18.45","19.65","18.65","19.85","20.30","20.55","19.40","19.95","19.60","20.20","19.55","19.90","20.25","20.15","..","..","20.70","21.25","20.35","20.05","20.25","21.60"
"Saskatchewan",,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancies 4","14,230","15,480","11,850","10,745","9,415","9,860","9,245","8,435","8,465","11,270","10,075","9,385","9,340","11,350","10,775","8,855","8,900","11,450","11,125","10,430","11,625","..","..","10,530","12,090","16,990","20,325","19,830","20,245"
,"Payroll employees 5","462,365","463,960","465,270","470,085","457,135","455,025","457,800","462,135","451,350","451,215","457,185","463,775","451,130","451,535","456,545","465,645","458,575","462,760","463,580","471,175","461,100","..","..","449,910","441,465","449,040","456,970","472,945","465,370"
,,"Percentage",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancy rate 6","3.0","3.2","2.5","2.2","2.0","2.1","2.0","1.8","1.8","2.4","2.2","2.0","2.0","2.5","2.3","1.9","1.9","2.4","2.3","2.2","2.5","..","..","2.3","2.7","3.6","4.3","4.0","4.2"
,,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Average offered hourly wage 7","19.95","18.40","18.35","18.85","19.40","19.25","19.15","19.25","20.70","19.00","19.70","20.25","21.75","20.30","20.35","20.95","21.55","20.20","20.40","20.35","21.40","..","..","21.60","22.10","21.35","20.90","21.40","22.15"
"Alberta",,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancies 4","76,935","72,345","64,480","50,835","39,150","42,365","44,135","42,435","42,625","50,920","53,635","51,265","50,685","59,830","58,745","55,030","49,755","59,930","52,890","45,465","48,350","..","..","44,700","50,390","69,050","86,385","85,925","88,165"
,"Payroll employees 5","2,008,800","1,979,775","1,980,125","1,982,360","1,927,610","1,897,300","1,907,775","1,912,810","1,889,880","1,888,355","1,935,420","1,952,795","1,921,900","1,926,675","1,950,945","1,967,670","1,950,375","1,950,000","1,982,050","1,994,515","1,947,800","..","..","1,803,905","1,768,370","1,803,435","1,871,160","1,914,410","1,901,715"
,,"Percentage",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancy rate 6","3.7","3.5","3.2","2.5","2.0","2.2","2.3","2.2","2.2","2.6","2.7","2.6","2.6","3.0","2.9","2.7","2.5","3.0","2.6","2.2","2.4","..","..","2.4","2.8","3.7","4.4","4.3","4.4"
,,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Average offered hourly wage 7","20.00","19.65","19.10","19.05","20.00","19.65","20.30","20.25","21.60","20.85","21.40","22.00","22.95","22.30","22.75","23.25","24.30","23.50","23.30","23.95","24.75","..","..","23.00","24.05","23.10","23.50","24.05","25.00"
"British Columbia",,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancies 4","68,020","69,820","72,950","59,970","61,505","72,155","77,010","72,840","68,190","85,795","92,645","88,470","92,625","105,745","110,565","104,515","101,945","108,115","106,260","90,140","93,125","..","..","93,835","100,365","122,260","157,575","148,875","149,190"
,"Payroll employees 5","1,951,030","1,968,310","2,002,890","2,023,580","2,003,665","2,022,050","2,057,200","2,081,815","2,067,105","2,081,630","2,125,420","2,149,610","2,136,480","2,160,680","2,191,995","2,227,545","2,210,510","2,222,860","2,252,350","2,275,990","2,248,475","..","..","2,125,080","2,119,030","2,147,300","2,201,075","2,274,595","2,277,925"
,,"Percentage",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancy rate 6","3.4","3.4","3.5","2.9","3.0","3.4","3.6","3.4","3.2","4.0","4.2","4.0","4.2","4.7","4.8","4.5","4.4","4.6","4.5","3.8","4.0","..","..","4.2","4.5","5.4","6.7","6.1","6.1"
,,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Average offered hourly wage 7","18.80","17.80","17.80","18.45","19.20","19.10","18.75","19.05","20.50","19.60","19.10","19.55","19.85","20.30","20.85","21.00","21.45","21.60","21.30","21.55","22.85","..","..","24.00","24.55","24.00","23.45","24.00","25.00"
"Yukon",,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancies 4","F","850","715","465","505","690","525","575","425","810","760","550","725","890","855","760","735","1,175","1,065","910","850","..","..","785","825","1,405","1,300","1,320","1,165"
,"Payroll employees 5","14,860","15,530","16,755","16,515","15,460","16,175","17,385","17,140","15,725","16,165","18,270","17,645","16,195","16,480","18,295","17,495","16,365","16,805","18,350","17,795","16,875","..","..","17,275","16,625","17,070","18,495","18,640","17,495"
,,"Percentage",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancy rate 6","F","5.2","4.1","2.7","3.2","4.1","2.9","3.2","2.6","4.8","4.0","3.0","4.3","5.1","4.5","4.2","4.3","6.5","5.5","4.9","4.8","..","..","4.4","4.7","7.6","6.6","6.6","6.3"
,,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Average offered hourly wage 7","20.65","18.20","19.25","19.75","18.15","20.25","19.30","18.35","21.65","22.65","20.00","19.80","19.55","21.30","21.45","20.40","23.70","21.00","20.40","18.80","23.00","..","..","20.60","23.55","24.30","24.00","23.80","26.85"
"Northwest Territories",,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancies 4","F","995","835","670","670","575","560","530","540","675","565","530","760","695","780","740","760","720","785","530","430","..","..","605","855","1,110","1,410","1,440","1,170"
,"Payroll employees 5","21,635","22,035","23,150","22,515","21,930","21,625","22,150","21,560","21,110","21,485","22,750","22,205","21,270","21,525","22,520","21,860","21,090","21,220","22,220","21,325","20,465","..","..","19,260","19,370","20,155","20,930","20,665","20,515"
,,"Percentage",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancy rate 6","F","4.3","3.5","2.9","3.0","2.6","2.5","2.4","2.5","3.0","2.4","2.3","3.5","3.1","3.3","3.3","3.5","3.3","3.4","2.4","2.0","..","..","3.0","4.2","5.2","6.3","6.5","5.4"
,,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Average offered hourly wage 7","28.00","25.00","23.35","25.10","25.15","21.70","24.60","27.80","30.45","24.90","25.45","27.70","22.40","23.05","22.95","24.85","23.85","24.15","24.60","25.10","27.40","..","..","28.45","28.75","29.05","26.70","28.35","31.90"
"Nunavut",,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancies 4","F","410","460","315","295","320","360","220","250","335","415","355","325","380","435","400","455","545","485","365","425","..","..","375","515","615","480","470","415"
,"Payroll employees 5","10,130","10,630","10,465","10,835","9,955","10,420","10,580","10,690","10,440","10,845","11,030","12,105","11,415","11,410","12,000","12,570","12,030","11,985","13,175","14,440","13,900","..","..","14,160","13,985","14,270","14,110","14,960","14,825"
,,"Percentage",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancy rate 6","F","3.7","4.2","2.8","2.9","3.0","3.3","2.0","2.3","3.0","3.6","2.8","2.8","3.2","3.5","3.1","3.7","4.3","3.5","2.5","3.0","..","..","2.6","3.6","4.1","3.3","3.0","2.7"
,,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Average offered hourly wage 7","25.50","27.85","28.95","24.00","27.65","26.80","32.60","31.55","30.20","26.65","26.95","32.60","29.20","26.15","27.35","27.90","30.15","31.55","29.05","30.10","34.35","..","..","34.75","31.40","29.85","28.25","29.35","30.25"

Symbol legend:
.., not available for a specific reference period
E, use with caution
F, too unreliable to be published
A, data quality: excellent
B, data quality: very good
C, data quality: good
D, data quality: acceptable




Footnotes:
1,"Data quality indicators are based on the coefficient of variation (CV), the non-response errors, the imputation errors, and subject matter expertise: A – Excellent; B - Very good; C - Good; D – Acceptable; E - Use with caution; F - Too unreliable to publish."
2,"Data for the second and third quarters of 2020 are unavailable due to some Statistics Canada operations being temporarily suspended during the COVID-19 pandemic."
3,"An economic region (ER) is a grouping of complete census divisions (with one exception in Ontario) created as a standard geographic unit for analysis of regional economic activity. Canada has 76 ERs that are classified in accordance with the <a href="https://www150.statcan.gc.ca/n1/en/catalogue/12-571-X2016001">Standard Geographical Classification (SGC) 2016</a>, which is based on 2016 Census boundaries. The Job Vacancy and Wage Survey (JVWS) publishes estimates for 69 ERs, seven of which are combined. These seven combined ERs are the same as those published by the Labour Force Survey. Maps illustrating the ERs, as well as a table showing the census metropolitan areas (CMAs) and census agglomerations (CAs) within each ER, are available by selecting the “JVWS Geographical Maps” link at the bottom of the JVWS survey page (<a href="http://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=5217">5217</a>)."
4,"A job is vacant if it meets the following conditions: it is vacant on the reference date (first day of the month) or will become vacant during the month; there are tasks to be carried out during the month for the job in question; and the employer is actively seeking a worker outside the organization to fill the job. The jobs could be full-time, part-time, permanent, temporary, casual, or seasonal. Jobs reserved for subcontractors, external consultants, or other workers who are not considered employees, are excluded."
5,"The 'employee' concept used in the Job Vacancy and Wage Survey (JVWS) is comprised of full-time employees, part-time employees, as well as permanent, casual, temporary, and seasonal employees. It also includes working owners, directors, partners, and other officers of incorporated businesses, as well as employees who work at home or on the road but report to the location. The ‘employee' concept used in the JVWS is meant to exclude owners or partners of unincorporated businesses and professional practices, the self-employed, subcontractors, external consultants, unpaid family workers, persons working outside Canada, and military personnel. It also excludes employees on unpaid leave, such as those on extended sick leave who are receiving insurance benefits. The employment estimates from the JVWS are calibrated to the employment estimates from the <a href="http://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=2612">Survey of Employment, Payrolls and Hours</a> (SEPH) at the North American Industry Classification System sector (NAICS2) level by province."
6,"The job vacancy rate is the number of job vacancies expressed as a percentage of labour demand; that is, all occupied and vacant jobs."
7,"The average hourly wage offered by employers for vacant positions. It excludes overtime, tips, commissions and bonuses. Salaries are converted to hourly wages based on information regarding the frequency of pay and the expected average number of hours worked per week. The offered wage may be different from the actual wage paid once the position is filled. If the salary is different among the job vacancies for the same occupation, the respondent is asked to report the lowest wage or salary. When the compensation advertised for the job vacancy is in the form of a salary range or an hourly pay range, the respondent is asked to report the lowest value of the range. If the work will be paid based on, for example, the number of parts produced, mileage or the number of times a task is performed, the respondent is asked to report the expected minimum salary."



"How to cite: Statistics Canada. Table 14-10-0325-01  Job vacancies, payroll employees, job vacancy rate, and average offered hourly wage by provinces and territories, quarterly, unadjusted for seasonality"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410032501
